,affiliation
818,Orange Innovation
819,Orby AI
820,OriginAI
821,Osaka University
822,Otto-Friedrich Universität Bamberg
823,Oumi
824,Oumi AI PBC
825,"Oxford Internet Institute, University of Oxford"
826,PAII INC
827,PAII Inc.
828,POSTECH
829,Paitaxt Technical Institute
830,Palacký University Olomouc
831,Patronus AI
832,Pattern Data
833,"Paul G. Allen School of Computer Science and Engineering, University of Washington"
834,Peking University
835,Pelita Harapan University
836,Peng Cheng Laboratory and South China University of Technology
837,Pengcheng Laboratory
838,Pennsylvania State University
839,"Pennsylvania State University, Pennsylvania State University"
840,Pingan Group
841,Pingan Technology
842,Pohang University of Science and Technology
843,Polish-Japanese Institute of Information Technology in Warsaw
844,Politecnico di Milano
845,Portland State University
846,Pr(Ai)²R Group
847,Prince Sultan University
848,Princeton University
849,Project Ronin
850,Prompsit Language Engineering
851,"ProtagoLabs, Inc. / NetMind"
852,Purdue University
853,Purdue University and Purdue University
854,PyPOTS Research
855,Qilu University of Technology(Shandong Academy of Science) and Shandong Artificial Intelligence Institute
856,"Qi’anxin Technology Group Co., Ltd"
857,QualComm
858,Quantstamp
859,Queen Mary University London
860,Queen Mary University of London
861,Queensland University of Technology
862,Queen’s University
863,RIKEN
864,RIKEN and Konan University
865,RISC Software GmbH
866,Reading University and Nanjing University of Information Science and Technology
867,Red Hat
868,Red Hat and Institute of Science and Technology Austria
869,Red Hat and Neural Magic
870,RedNote
871,Reka AI
872,Renmin University of China
873,"Renmin University of China, Tsinghua University"
874,Rensselaer Polytechnic Institute
875,Research Center for Social Computing and Information Retrieval
876,"Research, Google"
877,"Research, Microsoft"
878,"Research, Microsoft and Indian Institute of Technology Hyderabad"
879,Retro Rabbit
880,Rice University
881,"Robert Bosch GmbH, Bosch"
882,Rochester Institute of Technology
883,Roma Tre University
884,Royal Melbourne Institute of Technology
885,Royal Melbourne Institute of Technology and Universitas Indonesia
886,Ruprecht-Karls-Universität Heidelberg
887,Rutgers University
888,SAP SE
889,SB Intuitions
890,SCB 10X
891,SEACrowd
892,SGIT AI
893,"SKLCCSE, School of Computer Science and Engineering, Beihang University, Beijing, China"
894,SRIBD
895,SUN YAT-SEN UNIVERSITY
896,SUN YAT-SEN UNIVERSITY CANCER CENTER
897,"Saarbruecken Research Center for Visual Computing, Interaction, and Artificial Intellligence and Max-Planck-Institute for Informatics, Saarland Informatics Campus"
898,"Saarland Informatics Campus, Max-Planck Institute"
899,Sailplane
900,SalesForce.com
901,"SalesForce.com and national university of singaore, National University of Singapore"
902,Salesforce AI
903,Salesforce AI Research
904,Salesforce Research
905,Sami Shamoon College of Engineering
906,Samsung
907,Samsung Research
908,Santa Clara University
909,Sapienza University of Rome
910,"School of Artificial Intelligence, Beihang University and Institute of Computing Technology, Chinese Academy of Sciences"
911,"School of Artificial Intelligence, Jilin University"
912,"School of Computer Science and Engineering, Nanyang Technological University"
913,"School of Computer Science and Technology, Tiangong University"
914,"School of Computer Science, Carnegie Mellon University"
915,"School of Computer Science, Carnegie Mellon University and J.P. Morgan Chase"
916,"School of Computer Science, Tel Aviv University"
917,SenseTime Group Limited
918,SenseTime Group Ltd
919,Sensetime
920,Seoul National University
921,"Seoul National University, Seoul National University"
922,ServiceNow
923,"ServiceNow Inc, Mila, McGill University and Mila, McGill University"
924,Shahid Beheshti University
925,Shanda Group and Alibaba Group
926,Shandong University
927,Shanghai AI Lab
928,Shanghai AI Laboratory
929,Shanghai AI Laboratory and Shanghai Jiao Tong University
930,Shanghai Academy of AI for Science and Fudan University
931,"Shanghai Amarsoft Enterprise Credit Information Service Co.,Ltd"
932,Shanghai Aritifcal Intelligence Laboratory
933,Shanghai Artificial Intelligence Laboratory
934,Shanghai Artificial Intelligence Laboratory and Fudan University
935,Shanghai Artificial Intelligence Laboratory and Harbin Institute of Technology
936,Shanghai Artificial Intelligence Laboratory and Hong Kong University of Science and Technology
937,Shanghai Artificial Intelligence Laboratory and Shanghai Innovation Institute
938,"Shanghai Artificial Intelligence Laboratory, Tsinghua University and University College London"
939,"Shanghai Electric Group Co.,Ltd. Central Academe"
940,Shanghai Institute for Advanced Study of Zhejiang University
941,Shanghai Jiao Tong University
942,Shanghai Jiaotong University
943,Shanghai Qi Zhi Institute
944,Shanghai University
945,Shanghai University of Electric Power
946,Shanghai University of Finance and Economics
947,ShanghaiTech University
948,Shanxi University
949,Shaqra University
950,Sharif University of Technology
951,"Sharif University of Technology, Sharif University of Technology"
952,Shenyang Aerospace University
953,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences"
954,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences"
955,"Shenzhen International Graduate School, Tsinghua University"
956,Shenzhen Polytechnic University and South China University of Technology
957,Shenzhen Research Institute of Big Data
958,Shenzhen University
959,Shenzhen University of Advanced Technology
960,"Shenzhen University of Advanced Technology and Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences"
961,Shopee
962,Sichuan University
963,Siemens Corporate Research
964,Siemens Foundational Technologies
965,"Siemens Ltd., China"
966,Simon Fraser University
967,Singapore MIT Alliance for Research and Technology
968,Singapore Management University
969,Singapore Management University and Nanjing University
970,Singapore Polytechnic
971,Singapore University of Social Sciences
972,Singapore University of Technology and Design
973,Singapore-MIT Alliance for Research and Technology
974,Skolkovo Institute of Science and Technology
975,Skoltech
976,Skywork AI
977,Snowflake
978,Sogang University
979,Sony
980,Soochow University
981,"Soochow University, China"
982,"Soochow University, China,"
983,Sorbonne Université
984,South China Agricultural University
985,South China Normal University
986,South China University of Technology
987,"South China University of Technology, South China University of Technology"
988,Southeast Community College Area
989,Southeast University
990,Southeast University - Monash University Joint Graduate School
991,Southeast University and Hong Kong University of Science and Technology
992,Southern University of Science and Technology
993,Squirrel Ai Learning
994,Stanford University
995,Stanford University and Hospital Israelita Albert Einstein
996,Stanford University and Kumo.AI
997,Stanford University and University of Toronto
998,Stanford University and University of Zurich
999,State Grid Fujian Electric Power Co.
1000,State Key Laboratory of Cognitive Intelligence
1001,State University of New York at Stony Brook
1002,"State University of New York, Stony Brook"
1003,"State key laboratory of CAD&CG, Zhejiang University"
1004,StepFun Technology Inc.
1005,Stevens Institute of Technology
1006,Stockholm University
1007,Stony Brook University
1008,Sudan University for Science and Technology
1009,Sun Yat-Sen University
1010,Sung Kyun Kwan University
1011,SungKyunKwan University
1012,Sungkyunkwan University
1013,Suzhou University
1014,Swiss Federal Institute of Technology
1015,Swiss Federal Institute of Technology Lausanne
1016,TAL
1017,"TBSI, Tsinghua University"
1018,TIB Hannover
1019,TIB/L3S
1020,TSY Capital
1021,TU Darmstadt
1022,Tampere University
1023,"Tata Consultancy Services Limited, India"
1024,Technical University of Denmark
1025,"Technical University of Denmark, Apple and IT University"
1026,Technical University of Munich
1027,Technical University of Wroclaw
1028,Technion - Israel Institute of Technology
1029,"Technion - Israel Institute of Technology, Technion"
1030,"Technion, Israel Institute of Technology"
1031,"Technion, Technion"
1032,Technische Universität Darmstadt
1033,Technische Universität Dresden
1034,Technische Universität Dresden and University of St Andrews
1035,Technische Universität Graz
1036,Technische Universität München
1037,Technische Universität Wien
1038,Technology Innovation Institute
1039,Tel Aviv University
1040,Tel Aviv University and Apple
1041,Tel Aviv University and Google
1042,Tel Aviv University and Google Research
1043,"Tel Aviv University, Tel Aviv University and Tel Aviv University"
1044,"TeleAI, China Telecom"
1045,Telecom SudParis
1046,Tencent
1047,Tencent AI Lab
1048,"Tencent AI Lab and The Chinese University of Hong Kong, Shenzhen"
1049,Tencent America LLC
1050,Tencent Hunyuan
1051,Tencent Hunyuan / AI Lab
1052,Tencent INC
1053,Tencent TEG and Beijing Institute of Technology
1054,Tencent YouTu Lab
1055,Texas A&M University
1056,Texas A&M University - College Station
1057,Texas A&M University - College Station and Google
1058,The Chinese University of Hong Kong
1059,The Chinese University of Hong Kong (ShenZhen)
1060,The Chinese University of Hong Kong (Shenzhen); National University of Singapore and National University of Singapore
1061,The Chinese University of Hong Kong and The Chinese University of Hong Kong
1062,The Chinese University of Hong Kong and Tsinghua University
1063,"The Chinese University of Hong Kong, Shenzhen"
1064,The Chinese University of Hong Kong-Shenzhen
1065,"The Department of Mathematics, Tsinghua University"
1066,The Fin AI
1067,The Hong Kong Polytechnic University
1068,The Hong Kong Polytechnic University and Hong Kong Polytechnic University
1069,"The Hong Kong Polytechnic University, The Hong Kong Polytechnic University"
1070,The Hong Kong University of Science and Technology
1071,The Hong Kong University of Science and Technology (Guangzhou)
1072,The Hong Kong University of Science and Technology (Guangzhou) and Hong Kong University of Science and Technology
1073,The Hong Kong University of Science and Technology (Guangzhou) and The Hong Kong University of Science and Technology
1074,The Hong Kong University of Science and Technology and City University of Hong Kong
1075,The Hong Kong University of Science and Technology and International Computer Science Institute
1076,The Ohio State University
1077,"The Ohio State University, Columbus"
1078,The Pennsylvania State University
1079,The University of Auckland
1080,The University of Electro-Communications
1081,The University of Hong Kong
1082,The University of Melbourne
1083,The University of Nottingham Ningbo China
1084,The University of Queensland
1085,The University of Sheffield and University of Sheffield
1086,The University of Tokyo
1087,The University of Tokyo and University of Alberta
1088,"The University of Tokyo, The University of Tokyo and Tokyo University of Science"
1089,The University of Waikato
1090,Tiangong University
1091,"Tianjin Unibersity, China"
1092,Tianjin University
1093,Tianjin University and Pingan Technology
1094,Tiktok
1095,Tohoku University
1096,Tohoku University and RIKEN
1097,Tokyo Institute of Technology/Institute of Science Tokyo and RIKEN
1098,Tokyo Metropolitan University
1099,Tokyo Metropolitan University and KDDI Corporation
1100,Tokyo University
1101,Tokyo University of Science and Keio University
1102,Tomorrow Advancing Life
1103,Tongji University
1104,Tongji University and Shanghai Artificial Intelligence Laboratory
1105,Tongyi Lab
1106,Toyota Research Institute
1107,Toyota Technological Institute at Chicago
1108,Toyota Technological Institute at Chicago and University of Chicago
1109,Tsinghua University
1110,"Tsinghua University, Tsinghua University"
1111,"Tsinghua University, Tsinghua University and Tencent AI Lab"
1112,"Tsinghua University, Tsinghua University and Tsinghua University, Tsinghua University"
1113,Turan University
1114,Turing Inc.
1115,"Turing Inc. and Nara Institute of Science and Technology, Japan"
1116,Twitter
1117,Tyumen State University
1118,U Hamburg
1119,UC Santa Barbara
1120,UCL
1121,UCLA
1122,"UCLA Computer Science Department, University of California, Los Angeles"
1123,UIUC
1124,UNSW Sydney
1125,US Naval Academy
1126,USC/ISI
1127,UW-Madison
1128,"Ubiquitous Knowledge Processing Lab, Technical University of Darmstadt"
1129,Universidad Autónoma de Madrid
1130,Universidad Carlos III de Madrid
1131,Universidad Nacional de Córdoba
1132,Universidad Nacional de Educación a Distancia
1133,Universidad Nacional de Educación a Distancia and Universidad Nacional de Educación a Distancia
1134,Universidad Politécnica Salesiana
1135,Universidad Politécnica de Madrid
1136,Universidad Politécnica de Madrid and Universidad Nacional de Educación a Distancia
1137,Universidad de Alicante
1138,Universidad de Jaén
1139,Universidad de La Coruña
1140,Universidad de Málaga
1141,Universidad de Santiago de Compostela
1142,Universidad del País Vasco
1143,Universidade Federal Fluminense
1144,Universidade Federal de Minas Gerais
1145,"Universidade Federal de Minas Gerais, Universidade Federal de Minas Gerais"
1146,Universidade Federal de São João del-Rei
1147,Universidade Federal do Rio Grande do Sul
1148,Universidade da Coruña
1149,Universidade do Porto
1150,Universita della Svizzera Italiana
1151,"Universita della Svizzera Italiana, Universidad Politécnica de Valencia and University of Bucharest"
1152,Universitas Brawijaya
1153,Universitas Indonesia
1154,Universitat Pompeu Fabra
1155,Universitat d’Alacant
1156,University College Dublin
1157,University College London
1158,"University College London, University of London"
1159,University Hospital Aachen
1160,University Mohammed VI Polytechnic
1161,University of Aberdeen
1162,University of Adelaide and Royal Melbourne Institute of Technology
1163,University of Alabama at Birmingham
1164,University of Amsterdam
1165,"University of Amsterdam, King Abdullah University of Science and Technology and National Taiwan University"
1166,University of Arizona
1167,University of Auckland
1168,University of Augsburg
1169,University of Basel
1170,University of Bath
1171,University of Birmingham
1172,University of Bisha
1173,University of Bologna
1174,University of Bristol
1175,University of British Columbia
1176,University of Bucharest
1177,University of Calabria
1178,University of California
1179,University of California Berkeley
1180,"University of California, Berkeley"
1181,"University of California, Davis"
1182,"University of California, Davis and University of Southern California"
1183,"University of California, Irvine"
1184,"University of California, Los Angeles"
1185,"University of California, Los Angeles and Amazon"
1186,"University of California, Merced"
1187,"University of California, Riverside and Sichuan University"
1188,"University of California, San Diego"
1189,"University of California, San Diego, Snowflake, Petuum, Inc and Carnegie Mellon University"
1190,"University of California, San Diego, University of California, San Diego"
1191,University of Cambridge
1192,University of Cambridge and Duke University
1193,University of Cape Coast
1194,University of Central Florida
1195,University of Central Florida and Universitas Gadjah Mada
1196,University of Central Florida and Universitas Islam Indonesia
1197,University of Chicago
1198,University of Chinese Academy of Sciences
1199,University of Chinese Academy of Sciences and Chinese Academy of Sciences
1200,University of Colorado at Boulder
1201,University of Connecticut
1202,University of Copenhagen
1203,University of Delaware
1204,University of Dundee
1205,University of Edinburgh
1206,University of Edinburgh and University of Amsterdam
1207,"University of Edinburgh, University of Edinburgh"
1208,University of Electro-Communications
1209,University of Electronic Science and Technology of China
1210,"University of Electronic Science and Technology of China,"
1211,University of Essex
1212,University of Exeter and University of Sheffield
1213,University of Florida
1214,University of Georgia
1215,University of Glasgow
1216,University of Groningen
1217,"University of Göttingen, Germany"
1218,University of Haifa
1219,University of Hawaii at Manoa
1220,University of Helsinki
1221,University of Hong Kong
1222,University of Hong Kong and Hong Kong Baptist University
1223,University of Houston
1224,University of Ibadan
1225,University of Illinois Chicago
1226,University of Illinois Urbana Champaign
1227,University of Illinois Urbana-Champaign
1228,University of Illinois Urbana-Champaign Champaign
1229,University of Illinois at Chicago
1230,University of Illinois at Urbana-Champaign
1231,"University of Illinois, Chicago"
1232,"University of Illinois, Urbana Champaign"
1233,"University of Illinois, Urbana Champaign, College of Computing and Georgia Institute of Technology"
1234,"University of Illinois, Urbana-Champaign"
1235,University of International Business and Economics
1236,University of Khartoum
1237,University of Liverpool
1238,University of Liverpool and Eindhoven University of Technology
1239,University of Luxembourg
1240,University of Macau
1241,University of Manchester
1242,"University of Manchester, University of Manchester"
1243,University of Maryland
1244,"University of Maryland, Baltimore County"
1245,"University of Maryland, College Park"
1246,"University of Maryland, College Park and Ludwig-Maximilians-Universität München"
1247,University of Massachusetts at Amherst
1248,University of Massachusetts at Lowell
1249,"University of Massachusetts, Amherst"
1250,University of Melbourne
1251,University of Melbourne and Carnegie Mellon University
1252,University of Memphis
1253,University of Michigan - Ann Arbor
1254,University of Michigan - Ann Arbor and LG AI Research
1255,University of Michigan - Ann Arbor and Michigan State University
1256,University of Michigan - Ann Arbor and University of Guyana
1257,University of Minnesota
1258,University of Minnesota - Twin Cities
1259,"University of Minnesota, Minneapolis"
1260,University of Mississippi Medical Center
1261,University of Montreal
1262,University of Nantes
1263,University of North Carolina at Chapel Hill
1264,University of Notre Dame
1265,University of Opole and University of Manchester
1266,University of Oregon
1267,University of Oregon and Vanderbilt University
1268,University of Oslo
1269,University of Oxford
1270,University of Oxford and Massachusetts Institute of Technology
1271,University of Oxford and University of Sydney
1272,University of Padua
1273,University of Palermo and Norwegian Institute of Technology
1274,University of Pennsylvania
1275,University of Pennsylvania and University of Pennsylvania
1276,"University of Pennsylvania, University of Pennsylvania"
1277,University of Pisa
1278,University of Pittsburgh
1279,University of Potsdam
1280,University of Pretoria
1281,University of Queensland
1282,University of Richmond
1283,University of Rochester
1284,University of Roma “La Sapienza”
1285,University of Roma “Tor Vergata”
1286,University of Rome Tor Vergata
1287,University of Rome Tor Vergata and Almawave SpA
1288,University of Saskatchewan
1289,University of Science and Technology of China
1290,University of Science and Technology of China and China Academic of Electronics and Information Technology
1291,University of Science and Technology of China and Shanghai Artificial Intelligence Laboratory
1292,University of Science and Technology of China and University of Science and Technology of China
1293,"University of Science and Technology of China, Tsinghua University"
1294,University of Sheffield
1295,"University of Sheffield, University of Sheffield"
1296,University of South Florida
1297,University of Southern California
1298,University of Southern California and USC/ISI
1299,University of St Andrews
1300,University of Stuttgart
1301,"University of Stuttgart, Universität Stuttgart"
1302,University of Sydney
1303,"University of Sydney, University of Sydney"
1304,University of Texas at Arlington
1305,"University of Texas at Arlington, University of Texas at Arlington"
1306,University of Texas at Austin
1307,University of Texas at Austin and Apple
1308,University of Texas at Austin and Facebook
1309,"University of Texas at Austin and University of Illinois, Urbana Champaign"
1310,University of Texas at Dallas
1311,University of Texas at San Antonio
1312,"University of Texas, Austin"
1313,University of Tokyo
1314,University of Toronto
1315,University of Toronto and Google
1316,University of Tuebingen
1317,University of Turku
1318,University of Turku and University of Turku
1319,"University of Virginia, Charlottesville"
1320,University of Waikato
1321,University of Warwick
1322,University of Washington
1323,University of Washington and Allen Institute for Artificial Intelligence
1324,"University of Washington and School of Computer Science, Carnegie Mellon University"
1325,"University of Washington, Facebook and Meta"
1326,University of Waterloo
1327,University of Waterloo and Mohamed bin Zayed University of Artificial Intelligence
1328,University of Waterloo and Vector Institute
1329,"University of Waterloo, University of Waterloo"
1330,University of West Bohemia
1331,University of Wisconsin - Madison
1332,University of Wisconsin - Madison and NVIDIA
1333,"University of Wisconsin, Madison"
1334,"University of Wisconsin, Madison, Stanford University, Facebook AI, Google AI and Cornell University"
1335,University of Zurich
1336,University of Zurich and University of Zurich
1337,University of the Basque Country
1338,University of the Basque Country (UPV/EHU)
1339,University of the Chinese Academy of Sciences
1340,"University of the Chinese Academy of Sciences and Institute of Computing Technology, Chinese Academy of Sciences"
1341,University of the People
1342,University of the Philippines
1343,University of the Philippines Diliman
1344,University of the Witwatersrand
1345,Università degli Studi di Roma Tor Vergata
1346,Università della Svizzera Italiana and Università dell’Insubria
1347,Universität Bielefeld
1348,Universität Hamburg
1349,Universität Konstanz
1350,Universität Köln
1351,Universität Mannheim
1352,Universität Mannheim and Max Planck Institute for Informatics
1353,Universität Passau
1354,Universität Passau and Max-Planck Institute
1355,Universität Vienna
1356,Universität des Saarlandes
1357,Universität des Saarlandes and University of Groningen
1358,Université Paris 13
1359,Université Paris Cité
1360,Université Paris Nord (Paris XIII)
1361,"Université Paris-Saclay, CNRS"
1362,Université Paul Sabatier / Université de Toulouse III
1363,Université catholique de Louvain
1364,Université de Lausanne and Idiap Research Institute
1365,Université de Montréal and Mila - Quebec Artificial Intelligence Institute
1366,Université de Nantes
1367,Université de Nouakchott
1368,Université de Paris
1369,Université d’Aix-Marseille
1370,Univesity of Santiago de Compostela
1371,Uppsala University
1372,Utrecht University
1373,VISA
1374,VNG
1375,VNG Corporation
1376,Vanderbilt University
1377,Vercept
1378,Vidyasirimedhi Institute of Science and Technology
1379,Virginia Polytechnic Institute and State University
1380,"Virginia Polytechnic Institute and State University and Department of Computer Science, University of North Carolina at Chapel Hill"
1381,Virginia Tech
1382,Virginia Tech and Amazon
1383,Virtue AI and Stanford University
1384,Visa Research
1385,Votee AI
1386,"Wan, Alibaba Group and Tsinghua Shenzhen International Graduate School, Tsinghua University"
1387,Warsaw University of Technology
1388,Waseda University
1389,Washington University in Saint Louis
1390,"Washington University, Saint Louis"
1391,Way With Words
1392,Wayve
1393,WeChat AI
1394,"WeChat AI, Tencent"
1395,"WeChat AI, Tencent Inc."
1396,"WeChat, Tencent"
1397,"WeChat, Tencent Inc."
1398,Weizmann Institute of Science
1399,Welocalize
1400,Westfälische Wilhelms-Universität Münster
1401,Westlake University
1402,Westlake University and Zhejiang University
1403,William & Mary
1404,Worcester Polytechnic Institute
1405,World Bank
1406,Writesonic
1407,Wuhan University
1408,Wuhan University of Technology
1409,Xiamen University
1410,Xiamen University Malaysia
1411,Xiamen University of Technology
1412,"Xiamen University, Tsinghua University"
1413,Xiaohongshu
1414,Xiaohongshu Inc
1415,Xiaomi
1416,Xiaomi Corporation
1417,Xidian University
1418,Ximalaya Inc.
1419,Xi’an Jiaotong University
1420,Xi’an Jiaotong-Liverpool University
1421,Xi’an Jiaotong-Liverpool University and University of Liverpool
1422,Xi’an University of Electronic Science and Technology
1423,Yale University
1424,Yale University and Allen Institute for Artificial Intelligence
1425,Yazhouwan Lab
1426,Yonsei University
1427,Yonsei University and Yonsei University
1428,York University
1429,York University and York University
1430,Yuanshi- 元石科技
1431,Zalo
1432,Zhejiang Gongshang University
1433,Zhejiang Lab
1434,Zhejiang Normal University
1435,"Zhejiang Sci-Tech University, Zhejiang Sci-Tech University, Beijing Jiaotong University and Yixiaomo.Inc"
1436,Zhejiang University
1437,Zhejiang University and Peking University
1438,Zhejiang University and Zhejiang University
1439,Zhipu AI
1440,Zhipu AI and Tsinghua University
1441,Zhipu Ai
1442,Zhipu.AI
1443,Zhongguancun Laboratory
1444,cleveland clinic foundation
1445,haerae.com and OnelineAI
1446,iQIYI
1447,inftech.ai
1448,"institute of computer science, University of Tartu"
1449,"istituto di linguistica computazionale “A. Zampolli”, ILC-CNR, Pisa"
1450,jd.com
1451,lut
1452,nanjing university
1453,"national university of singaore, National University of Singapore"
1454,physical intelligence
1455,prince sultan university
1456,shanghai AI lab
1457,shanghai institute for science of science
1458,soochow university
1459,southern university of science and technology
1460,stc
1461,"the University of Hong Kong, University of Hong Kong"
1462,tii
1463,unaffiliated
1464,university of texas at dallas
1465,westlake university
1466,xAI
1467,xAI and University of Washington
1468,"École Polytechnique de Montréal, Université de Montréal, Université de Montréal, Université de Montréal and EPFL - EPF Lausanne"
1469,"École de technologie supérieure, Université du Québec"
1470,"École de technologie supérieure, Université du Québec and Université Paris-Saclay"
