,affiliation,country
605,Know Center GmbH and Technische Universität Graz,[Austria]
606,Komisi Pemberantasan Korupsi,[Indonesia]
607,Konkuk University,[South Korea]
608,Korea Advanced Institute of Science & Technology,[South Korea]
609,Korea Advanced Institute of Science & Technology and INEEJI,[South Korea]
610,Korea Advanced Institute of Science & Technology and LG Electronics,[South Korea]
611,Korea Advanced Institute of Science and Technology,[South Korea]
612,Korea Advanced Institute of Science and Technology and AITRICS,[South Korea]
613,Korea Telecom Research,[South Korea]
614,Korea University,[South Korea]
615,Korea University and Gauss Labs Inc.,[South Korea]
616,Kuaishou,[China]
617,Kuaishou Technology,[China]
618,Kuaishou- 快手科技,[China]
619,Kyoto University,[Japan]
620,Kyoto University and RIKEN,[Japan]
621,"Kyoto University, Kyoto University",[Japan]
622,Kyung Hee University,[South Korea]
623,Kyushu University,[Japan]
624,LBOX,[France]
625,LG AI Research,[South Korea]
626,LG Corporation,[South Korea]
627,"LG Corporation and University of Illinois, Chicago","[South Korea, United States]"
628,LG Electronics,[South Korea]
629,"LIP6, Sorbonne Université/CNRS and AXA",[France]
630,LY Corporation,[Japan]
631,Lancaster University,[United Kingdom]
632,Landbase Inc.,[Philippines]
633,Lanzhou University,[China]
634,Lappeenranta University of Technology and University of Copenhagen,"[Finland, Denmark]"
635,Lehigh University,[United States]
636,Leiden University,[Netherlands]
637,Lelapa AI,[South Africa]
638,Lelapa AI and University of Pretoria,[South Africa]
639,Lenovo Group Limited,[China]
640,Lenovo Research,[China]
641,Li Auto,[China]
642,LifeArc,[United Kingdom]
643,LightOn,France
644,Lingnan Normal University and Guangdong University of Technology,[China]
645,LinkedIn,United States
646,London Institute for Mathematical Sciences,[United Kingdom]
647,Los Alamos National Laboratory,[United States]
648,Lossfunk,[Germany]
649,Louvain School of Management,[Belgium]
650,Ludwig Maximilian University of Munich and Siemens Corporate Research,"[Germany, United States]"
651,Ludwig-Maximilians-Universität München,[Germany]
652,Ludwig-Maximilians-Universität München and Siemens Corporate Research,"[Germany, United States]"
653,L’École des hautes études en sciences sociales,[France]
654,"MBZUAI, RIKEN and Tohoku University","[United Arab Emirates, Japan]"
655,"MERCK & CO., INC.",[United States]
656,MIM Solutions and University of Warsaw,[Poland]
657,MPI-SWS,[Germany]
658,MTS AI,[Russia]
659,Macquarie University,[Australia]
660,Masakhane,[South Africa]
661,Maseno University,[Kenya]
662,Massachusetts Institute of Technology,[United States]
663,Massachusetts Institute of Technology and International Business Machines,[United States]
664,Massachusetts Institute of Technology and Kensho,[United States]
665,Massachusetts Institute of Technology and Massachusetts Institute of Technology,[United States]
666,Massachusetts Institute of Technology and Mohamed bin Zayed University of Artificial Intelligence,"[United States, United Arab Emirates]"
667,Max Planck Institute for Software Systems (MPI-SWS),[Germany]
668,Max-Planck Institute for Evolutionary Anthropology,[Germany]
669,Max-Planck Institute for Informatics,[Germany]
670,"Max-Planck-Institute for Intelligent Systems, Max-Planck Institute and ELLIS Institute Tübingen",[Germany]
671,Maximus,[]
672,McGill University,[Canada]
673,"McGill University and Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal",[Canada]
674,"McGill University, McGill University and Mila - Quebec Artificial Intelligence Institute",[Canada]
675,"McGill University, Mila Research Institute and Microsoft","[Canada, United States]"
676,"McGill University, Mila and McGill University",[Canada]
677,Medidata Solutions,[United States]
678,"Meedan, University of Oxford and Alan Turing Institute","[United States, United Kingdom]"
679,Meituan,[China]
680,Meta,[United States]
681,Meta AI,[United States]
682,Meta AI and Carnegie Mellon University,[United States]
683,Meta AI and Massachusetts Institute of Technology,[United States]
684,Meta FAIR,[United States]
685,"Meta Platforms, Inc.",[United States]
686,Meta and Meta,[United States]
687,Michigan State University,[United States]
688,Microsoft,[United States]
689,Microsoft Research,"[United States, United Kingdom, India, China, Canada]"
690,Microsoft Research Asia,[China]
691,"Microsoft Research, Redmond, WA, USA",[United States]
692,Microsoft and Borealis AI,"[United States, Canada]"
693,"Microsoft and Indian Institute of Technology, Madras","[United States, India]"
694,Microsoft and Johns Hopkins University,[United States]
695,"Microsoft, USA",[United States]
696,Midea Group,[China]
697,Mila - Quebec Artificial Intelligence Institute,[Canada]
698,Mila - Quebec Artificial Intelligence Institute and Université de Montréal,[Canada]
699,Minzu University of China,[China]
700,Minzu University of China and National Language Resource Monitoring & Research Center of Minority Languages,[China]
701,Mirelo AI,[Serbia]
702,Misr University for Science and Technology,[Egypt]
703,Mistral AI,[France]
704,ModelBest,[China]
705,Modelcode.ai,[United States]
706,Mohamed bin Zayed University of Artificial Intelligence,[United Arab Emirates]
707,Mohamed bin Zayed University of Artificial Intelligence and Carnegie Mellon University,"[United Arab Emirates, United States]"
708,Mohamed bin Zayed University of Artificial Intelligence and Chalmers University of Technology,"[United Arab Emirates, Sweden]"
709,Mohamed bin Zayed University of Artificial Intelligence and RIKEN,"[United Arab Emirates, Japan]"
710,Mohamed bin Zayed University of Artificial Intelligence and University of British Columbia,"[United Arab Emirates, Canada]"
711,Mohammed VI Polytechnic University,[Morocco]
712,Monash University,[Australia]
713,Monash University and Boston University,"[Australia, United States]"
714,"Monash University, Monash University and Monash University",[Australia]
715,"Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal and International Business Machines","[Canada, United States]"
716,"Montreal Institute for Learning Algorithms, University of Montreal, Université de Montréal",[Canada]
717,Montreal Institute of Learning Algorithms,[Canada]
718,Moonshot AI,[China]
719,Morgan Stanley,[United States]
720,Morgan Stanley Canada,[Canada]
721,"Moscow Institute of Physics and Technology, Moscow Institute of Physics and Technology and AIRI",[Russia]
722,NAIST,[Japan]
723,NASK - National Research Institute,[Poland]
724,NAVER,[South Korea]
725,NAVER CLOUD,[South Korea]
726,NAVER CLOVA,[South Korea]
727,NAVER Cloud,[South Korea]
728,NEC,Japan
729,NEC Laboratories America,[United States]
730,NEC Laboratories Europe,[Germany]
731,NEC Laboratories Europe GmbH,[Germany]
732,NEC Laboratories Europe and NEC Laboratories Europe,[Germany]
733,"NEC Laboratories Europe, St.Cyril and Methodius University and NEC Laboratories Europe","[Germany, North Macedonia]"
734,NEC Labs America,[United States]
735,NEC and Technische Universität Darmstadt,"[Japan, Germany]"
736,NEC-Labs,"[Japan, United States]"
737,"NII, Tokyo Institute of Technology",[Japan]
738,"NINJAL, Tohoku University and RIKEN",[Japan]
739,NTT,[Japan]
740,NTT Communications,[Japan]
741,"NTT Docomo, Inc.",[Japan]
742,"NTT, The University of Tokyo",[Japan]
743,NUS School of Computing,[Singapore]
744,NVIDIA,[United States]
745,NVIDIA Research,[United States]
746,NVIDIA and National Taiwan University,"[United States, Taiwan]"
747,"NYU Courant, Shanghai Artificial Intelligence Laboratory and Huazhong University of Science and Technology","[United States, China]"
748,NYU Langone,[United States]
749,Nanjing University,[China]
750,Nanjing University of Aeronautics and Astronautics,[China]
751,Nanjing University of Science and Technology,[China]
752,Nankai University,[China]
753,Nantes University,[France]
754,Nanyang Technological University,[Singapore]
755,Nanyang Technological University and A*STAR,[Singapore]
756,Nanyang Technological University and National University of Singapore,[Singapore]
757,Nanyang Technological University and SalesForce.com,"[Singapore, United States]"
758,Nara Institute of Science and Technology,[Japan]
759,"Nara Institute of Science and Technology, Japan",[Japan]
760,"Nara Institute of Science and Technology, Japan and National Institute of Information and Communications Technology (NICT)",[Japan]
761,"Nara Institute of Science and Technology, Japan and National Institute of Information and Communications Technology (NICT), National Institute of Advanced Industrial Science and Technology",[Japan]
762,"National Center for AI (NCAI), Saudi Data and AI Authority (SDAIA)",[Saudi Arabia]
763,National Central University,[Taiwan]
764,National Institute for Japanese Language and Linguistics,[Japan]
765,National Institute for Japanese Language and Linguistics and University of Tokyo,[Japan]
766,National Institute of Informatics,[Japan]
767,National Institute of Informatics (NII) and Kyoto University,[Japan]
768,National Institute of Information and Communications Technology,[Japan]
769,"National Institute of Information and Communications Technology (NICT), National Institute of Advanced Industrial Science and Technology",[Japan]
770,National Institute of Standards and Technology,[United States]
771,National Research Council Canada and University of Ottawa,[Canada]
772,National Taiwan University,[Taiwan]
773,National Taiwan University of Science and Technology,[Taiwan]
774,National Technical University of Athens,[Greece]
775,National Technical University of Athens and École Polytechnique,"[Greece, France]"
776,National University of Defense Technology,[China]
777,National University of Singapore,[Singapore]
778,"National University of Singapore and Agency for Science, Technology and Research (A*STAR))",[Singapore]
779,National University of Singapore and Ton Duc Thang University,"[Singapore, Vietnam]"
780,National University of Singapore and Zhejiang University,"[Singapore, China]"
781,National Yang Ming Chiao Tung University,[Taiwan]
782,Neovalle Ltd,[Finland]
783,NetEase Corp,[China]
784,Neural Magic,[United States]
785,New Mexico State University,[United States]
786,New York University,[United States]
787,New York University Abu Dhabi,[United Arab Emirates]
788,New York University and Facebook,[United States]
789,New York University and Google,[United States]
790,New York University and LG AI Research,"[United States, South Korea]"
791,Nnamdi Azikiwe University,[Nigeria]
792,Nokia Bell Labs and Department of Computer Science,"[United States, Finland]"
793,None,[]
794,North Carolina State University,[United States]
795,North-West University,[South Africa]
796,Northeast University,"[China, United States]"
797,Northeastern University,"[United States, China]"
798,Northeastern University and Technion - Israel Institute of Technology,"[United States, Israel]"
799,"Northeastern University, China",[China]
800,"Northeastern University, Northeastern University and University of Michigan",[United States]
801,Northwell Health,[United States]
802,Northwest Minzu University,[China]
803,Northwest Polytechnical University,[China]
804,Northwest Polytechnical University Xi’an,[China]
805,Northwestern University,[United States]
806,Norwegian Computing Center,[Norway]
807,Novosibirsk State University and Russian National Corpus,[Russia]
808,Nuance Communications,[United States]
809,OPPO,[China]
810,OPPO Research Institute,[China]
811,Ohio State University,[United States]
812,"Ohio State University, Columbus",[United States]
813,OpenAI,[United States]
814,Optum AI,[United States]
815,Opus AI Research,[United States]
816,Oracle,United States
817,Orange,[France]
818,Orange Innovation,[France]
819,Orby AI,[United States]
820,OriginAI,[United Kingdom]
821,Osaka University,[Japan]
822,Otto-Friedrich Universität Bamberg,[Germany]
823,Oumi,[Japan]
824,Oumi AI PBC,[United States]
825,"Oxford Internet Institute, University of Oxford",[United Kingdom]
826,PAII INC,[United States]
827,PAII Inc.,[United States]
828,POSTECH,[South Korea]
829,Paitaxt Technical Institute,[Uzbekistan]
830,Palacký University Olomouc,[Czech Republic]
831,Patronus AI,[United States]
832,Pattern Data,[France]
833,"Paul G. Allen School of Computer Science and Engineering, University of Washington",[United States]
834,Peking University,[China]
835,Pelita Harapan University,[Indonesia]
836,Peng Cheng Laboratory and South China University of Technology,[China]
837,Pengcheng Laboratory,[China]
838,Pennsylvania State University,[United States]
839,"Pennsylvania State University, Pennsylvania State University",[United States]
840,Pingan Group,[China]
841,Pingan Technology,[China]
842,Pohang University of Science and Technology,[South Korea]
843,Polish-Japanese Institute of Information Technology in Warsaw,"[Poland, Japan]"
844,Politecnico di Milano,[Italy]
845,Portland State University,[United States]
846,Pr(Ai)²R Group,[India]
847,Prince Sultan University,[Saudi Arabia]
848,Princeton University,[United States]
849,Project Ronin,[United States]
850,Prompsit Language Engineering,[Spain]
851,"ProtagoLabs, Inc. / NetMind","[United States, China]"
852,Purdue University,[United States]
853,Purdue University and Purdue University,[United States]
854,PyPOTS Research,[China]
855,Qilu University of Technology(Shandong Academy of Science) and Shandong Artificial Intelligence Institute,[China]
856,"Qi’anxin Technology Group Co., Ltd",[China]
857,QualComm,[United States]
858,Quantstamp,[United States]
859,Queen Mary University London,[United Kingdom]
860,Queen Mary University of London,[United Kingdom]
861,Queensland University of Technology,[Australia]
862,Queen’s University,"[Canada, United Kingdom]"
863,RIKEN,[Japan]
864,RIKEN and Konan University,[Japan]
865,RISC Software GmbH,[Austria]
866,Reading University and Nanjing University of Information Science and Technology,"[United Kingdom, China]"
867,Red Hat,[United States]
868,Red Hat and Institute of Science and Technology Austria,"[United States, Austria]"
869,Red Hat and Neural Magic,[United States]
870,RedNote,[India]
871,Reka AI,[Switzerland]
872,Renmin University of China,[China]
873,"Renmin University of China, Tsinghua University",[China]
874,Rensselaer Polytechnic Institute,[United States]
875,Research Center for Social Computing and Information Retrieval,[China]
876,"Research, Google",[United States]
877,"Research, Microsoft",[United States]
878,"Research, Microsoft and Indian Institute of Technology Hyderabad","[United States, India]"
879,Retro Rabbit,[South Africa]
880,Rice University,[United States]
881,"Robert Bosch GmbH, Bosch",[Germany]
882,Rochester Institute of Technology,[United States]
883,Roma Tre University,[Italy]
884,Royal Melbourne Institute of Technology,[Australia]
885,Royal Melbourne Institute of Technology and Universitas Indonesia,"[Australia, Indonesia]"
886,Ruprecht-Karls-Universität Heidelberg,[Germany]
887,Rutgers University,[United States]
888,SAP SE,[Germany]
889,SB Intuitions,[India]
890,SCB 10X,[Thailand]
891,SEACrowd,[Singapore]
892,SGIT AI,[India]
893,"SKLCCSE, School of Computer Science and Engineering, Beihang University, Beijing, China",[China]
894,SRIBD,[China]
895,SUN YAT-SEN UNIVERSITY,[China]
896,SUN YAT-SEN UNIVERSITY CANCER CENTER,[China]
897,"Saarbruecken Research Center for Visual Computing, Interaction, and Artificial Intellligence and Max-Planck-Institute for Informatics, Saarland Informatics Campus",[Germany]
898,"Saarland Informatics Campus, Max-Planck Institute",[Germany]
899,Sailplane,[India]
900,SalesForce.com,[United States]
901,"SalesForce.com and national university of singaore, National University of Singapore","[United States, Singapore]"
902,Salesforce AI,[United States]
903,Salesforce AI Research,[United States]
904,Salesforce Research,[United States]
905,Sami Shamoon College of Engineering,[Israel]
906,Samsung,[South Korea]
907,Samsung Research,[South Korea]
908,Santa Clara University,[United States]
909,Sapienza University of Rome,[Italy]
910,"School of Artificial Intelligence, Beihang University and Institute of Computing Technology, Chinese Academy of Sciences",[China]
911,"School of Artificial Intelligence, Jilin University",[China]
912,"School of Computer Science and Engineering, Nanyang Technological University",[Singapore]
913,"School of Computer Science and Technology, Tiangong University",[China]
914,"School of Computer Science, Carnegie Mellon University",[United States]
915,"School of Computer Science, Carnegie Mellon University and J.P. Morgan Chase",[United States]
916,"School of Computer Science, Tel Aviv University",[Israel]
917,SenseTime Group Limited,[China]
918,SenseTime Group Ltd,[China]
919,Sensetime,[China]
920,Seoul National University,[South Korea]
921,"Seoul National University, Seoul National University",[South Korea]
922,ServiceNow,[United States]
923,"ServiceNow Inc, Mila, McGill University and Mila, McGill University","[United States, Canada]"
924,Shahid Beheshti University,[Iran]
925,Shanda Group and Alibaba Group,[China]
926,Shandong University,[China]
927,Shanghai AI Lab,[China]
928,Shanghai AI Laboratory,[China]
929,Shanghai AI Laboratory and Shanghai Jiao Tong University,[China]
930,Shanghai Academy of AI for Science and Fudan University,[China]
931,"Shanghai Amarsoft Enterprise Credit Information Service Co.,Ltd",[China]
932,Shanghai Aritifcal Intelligence Laboratory,[China]
933,Shanghai Artificial Intelligence Laboratory,[China]
934,Shanghai Artificial Intelligence Laboratory and Fudan University,[China]
935,Shanghai Artificial Intelligence Laboratory and Harbin Institute of Technology,[China]
936,Shanghai Artificial Intelligence Laboratory and Hong Kong University of Science and Technology,"[China, Hong Kong]"
937,Shanghai Artificial Intelligence Laboratory and Shanghai Innovation Institute,[China]
938,"Shanghai Artificial Intelligence Laboratory, Tsinghua University and University College London","[China, United Kingdom]"
939,"Shanghai Electric Group Co.,Ltd. Central Academe",[China]
940,Shanghai Institute for Advanced Study of Zhejiang University,[China]
941,Shanghai Jiao Tong University,[China]
942,Shanghai Jiaotong University,[China]
943,Shanghai Qi Zhi Institute,[China]
944,Shanghai University,[China]
945,Shanghai University of Electric Power,[China]
946,Shanghai University of Finance and Economics,[China]
947,ShanghaiTech University,[China]
948,Shanxi University,[China]
949,Shaqra University,[Saudi Arabia]
950,Sharif University of Technology,[Iran]
951,"Sharif University of Technology, Sharif University of Technology",[Iran]
952,Shenyang Aerospace University,[China]
953,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",[China]
954,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences",[China]
955,"Shenzhen International Graduate School, Tsinghua University",[China]
956,Shenzhen Polytechnic University and South China University of Technology,[China]
957,Shenzhen Research Institute of Big Data,[China]
958,Shenzhen University,[China]
959,Shenzhen University of Advanced Technology,[China]
960,"Shenzhen University of Advanced Technology and Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences",[China]
961,Shopee,[Singapore]
962,Sichuan University,[China]
963,Siemens Corporate Research,[Germany]
964,Siemens Foundational Technologies,[Germany]
965,"Siemens Ltd., China",[China]
966,Simon Fraser University,[Canada]
967,Singapore MIT Alliance for Research and Technology,"[Singapore, United States]"
968,Singapore Management University,[Singapore]
969,Singapore Management University and Nanjing University,"[Singapore, China]"
970,Singapore Polytechnic,[Singapore]
971,Singapore University of Social Sciences,[Singapore]
972,Singapore University of Technology and Design,[Singapore]
973,Singapore-MIT Alliance for Research and Technology,"[Singapore, United States]"
974,Skolkovo Institute of Science and Technology,[Russia]
975,Skoltech,[Russia]
976,Skywork AI,[India]
977,Snowflake,[United States]
978,Sogang University,[South Korea]
979,Sony,[Japan]
980,Soochow University,[China]
981,"Soochow University, China",[China]
982,"Soochow University, China,",[China]
983,Sorbonne Université,[France]
984,South China Agricultural University,[China]
985,South China Normal University,[China]
986,South China University of Technology,[China]
987,"South China University of Technology, South China University of Technology",[China]
988,Southeast Community College Area,[United States]
989,Southeast University,[China]
990,Southeast University - Monash University Joint Graduate School,[China]
991,Southeast University and Hong Kong University of Science and Technology,"[China, Hong Kong]"
992,Southern University of Science and Technology,[China]
993,Squirrel Ai Learning,[China]
994,Stanford University,[United States]
995,Stanford University and Hospital Israelita Albert Einstein,"[United States, Brazil]"
996,Stanford University and Kumo.AI,[United States]
997,Stanford University and University of Toronto,"[United States, Canada]"
998,Stanford University and University of Zurich,"[United States, Switzerland]"
999,State Grid Fujian Electric Power Co.,[China]
1000,State Key Laboratory of Cognitive Intelligence,[China]
1001,State University of New York at Stony Brook,[United States]
1002,"State University of New York, Stony Brook",[United States]
1003,"State key laboratory of CAD&CG, Zhejiang University",[China]
1004,StepFun Technology Inc.,[Taiwan]
1005,Stevens Institute of Technology,[United States]
1006,Stockholm University,[Sweden]
1007,Stony Brook University,[United States]
1008,Sudan University for Science and Technology,[Sudan]
1009,Sun Yat-Sen University,[China]
1010,Sung Kyun Kwan University,[South Korea]
1011,SungKyunKwan University,[South Korea]
1012,Sungkyunkwan University,[South Korea]
1013,Suzhou University,[China]
1014,Swiss Federal Institute of Technology,[Switzerland]
1015,Swiss Federal Institute of Technology Lausanne,[Switzerland]
1016,TAL,[China]
1017,"TBSI, Tsinghua University",[China]
1018,TIB Hannover,[Germany]
1019,TIB/L3S,[Germany]
1020,TSY Capital,[United States]
1021,TU Darmstadt,[Germany]
1022,Tampere University,[Finland]
1023,"Tata Consultancy Services Limited, India",[India]
1024,Technical University of Denmark,[Denmark]
1025,"Technical University of Denmark, Apple and IT University","[Denmark, United States]"
1026,Technical University of Munich,[Germany]
1027,Technical University of Wroclaw,[Poland]
1028,Technion - Israel Institute of Technology,[Israel]
1029,"Technion - Israel Institute of Technology, Technion",[Israel]
1030,"Technion, Israel Institute of Technology",[Israel]
1031,"Technion, Technion",[Israel]
1032,Technische Universität Darmstadt,[Germany]
1033,Technische Universität Dresden,[Germany]
1034,Technische Universität Dresden and University of St Andrews,"[Germany, United Kingdom]"
1035,Technische Universität Graz,[Austria]
1036,Technische Universität München,[Germany]
1037,Technische Universität Wien,[Austria]
1038,Technology Innovation Institute,[United Arab Emirates]
1039,Tel Aviv University,[Israel]
1040,Tel Aviv University and Apple,"[Israel, United States]"
1041,Tel Aviv University and Google,"[Israel, United States]"
1042,Tel Aviv University and Google Research,"[Israel, United States]"
1043,"Tel Aviv University, Tel Aviv University and Tel Aviv University",[Israel]
1044,"TeleAI, China Telecom",[China]
1045,Telecom SudParis,[France]
1046,Tencent,[China]
1047,Tencent AI Lab,[China]
1048,"Tencent AI Lab and The Chinese University of Hong Kong, Shenzhen",[China]
1049,Tencent America LLC,[United States]
1050,Tencent Hunyuan,[China]
1051,Tencent Hunyuan / AI Lab,[China]
1052,Tencent INC,[China]
1053,Tencent TEG and Beijing Institute of Technology,[China]
1054,Tencent YouTu Lab,[China]
1055,Texas A&M University,[United States]
1056,Texas A&M University - College Station,[United States]
1057,Texas A&M University - College Station and Google,[United States]
1058,The Chinese University of Hong Kong,[China]
1059,The Chinese University of Hong Kong (ShenZhen),[China]
1060,The Chinese University of Hong Kong (Shenzhen); National University of Singapore and National University of Singapore,"[China, Singapore]"
1061,The Chinese University of Hong Kong and The Chinese University of Hong Kong,[China]
1062,The Chinese University of Hong Kong and Tsinghua University,[China]
1063,"The Chinese University of Hong Kong, Shenzhen",[China]
1064,The Chinese University of Hong Kong-Shenzhen,[China]
1065,"The Department of Mathematics, Tsinghua University",[China]
1066,The Fin AI,[Finland]
1067,The Hong Kong Polytechnic University,[China]
1068,The Hong Kong Polytechnic University and Hong Kong Polytechnic University,[China]
1069,"The Hong Kong Polytechnic University, The Hong Kong Polytechnic University",[China]
1070,The Hong Kong University of Science and Technology,[Hong Kong]
1071,The Hong Kong University of Science and Technology (Guangzhou),[China]
1072,The Hong Kong University of Science and Technology (Guangzhou) and Hong Kong University of Science and Technology,"[China, Hong Kong]"
1073,The Hong Kong University of Science and Technology (Guangzhou) and The Hong Kong University of Science and Technology,"[China, Hong Kong]"
1074,The Hong Kong University of Science and Technology and City University of Hong Kong,[Hong Kong]
1075,The Hong Kong University of Science and Technology and International Computer Science Institute,"[Hong Kong, United States]"
1076,The Ohio State University,[United States]
1077,"The Ohio State University, Columbus",[United States]
1078,The Pennsylvania State University,[United States]
1079,The University of Auckland,[New Zealand]
1080,The University of Electro-Communications,[Japan]
1081,The University of Hong Kong,[Hong Kong]
1082,The University of Melbourne,[Australia]
1083,The University of Nottingham Ningbo China,[China]
1084,The University of Queensland,[Australia]
1085,The University of Sheffield and University of Sheffield,[United Kingdom]
1086,The University of Tokyo,[Japan]
1087,The University of Tokyo and University of Alberta,"[Japan, Canada]"
1088,"The University of Tokyo, The University of Tokyo and Tokyo University of Science",[Japan]
1089,The University of Waikato,[New Zealand]
1090,Tiangong University,[China]
1091,"Tianjin Unibersity, China",[China]
1092,Tianjin University,[China]
1093,Tianjin University and Pingan Technology,[China]
1094,Tiktok,[China]
1095,Tohoku University,[Japan]
1096,Tohoku University and RIKEN,[Japan]
1097,Tokyo Institute of Technology/Institute of Science Tokyo and RIKEN,[Japan]
1098,Tokyo Metropolitan University,[Japan]
1099,Tokyo Metropolitan University and KDDI Corporation,[Japan]
1100,Tokyo University,[Japan]
1101,Tokyo University of Science and Keio University,[Japan]
1102,Tomorrow Advancing Life,[China]
1103,Tongji University,[China]
1104,Tongji University and Shanghai Artificial Intelligence Laboratory,[China]
1105,Tongyi Lab,[China]
1106,Toyota Research Institute,"[United States, Japan]"
1107,Toyota Technological Institute at Chicago,[United States]
1108,Toyota Technological Institute at Chicago and University of Chicago,[United States]
1109,Tsinghua University,[China]
1110,"Tsinghua University, Tsinghua University",[China]
1111,"Tsinghua University, Tsinghua University and Tencent AI Lab",[China]
1112,"Tsinghua University, Tsinghua University and Tsinghua University, Tsinghua University",[China]
1113,Turan University,[Kazakhstan]
1114,Turing Inc.,[United States]
1115,"Turing Inc. and Nara Institute of Science and Technology, Japan","[United States, Japan]"
1116,Twitter,[United States]
1117,Tyumen State University,[Russia]
1118,U Hamburg,[Germany]
1119,UC Santa Barbara,[United States]
1120,UCL,[United Kingdom]
1121,UCLA,[United States]
1122,"UCLA Computer Science Department, University of California, Los Angeles",[United States]
1123,UIUC,[United States]
1124,UNSW Sydney,[Australia]
1125,US Naval Academy,[United States]
1126,USC/ISI,[United States]
1127,UW-Madison,[United States]
1128,"Ubiquitous Knowledge Processing Lab, Technical University of Darmstadt",[Germany]
1129,Universidad Autónoma de Madrid,[Spain]
1130,Universidad Carlos III de Madrid,[Spain]
1131,Universidad Nacional de Córdoba,[Argentina]
1132,Universidad Nacional de Educación a Distancia,[Spain]
1133,Universidad Nacional de Educación a Distancia and Universidad Nacional de Educación a Distancia,[Spain]
1134,Universidad Politécnica Salesiana,[Ecuador]
1135,Universidad Politécnica de Madrid,[Spain]
1136,Universidad Politécnica de Madrid and Universidad Nacional de Educación a Distancia,[Spain]
1137,Universidad de Alicante,[Spain]
1138,Universidad de Jaén,[Spain]
1139,Universidad de La Coruña,[Spain]
1140,Universidad de Málaga,[Spain]
1141,Universidad de Santiago de Compostela,[Spain]
1142,Universidad del País Vasco,[Spain]
1143,Universidade Federal Fluminense,[Brazil]
1144,Universidade Federal de Minas Gerais,[Brazil]
1145,"Universidade Federal de Minas Gerais, Universidade Federal de Minas Gerais",[Brazil]
1146,Universidade Federal de São João del-Rei,[Brazil]
1147,Universidade Federal do Rio Grande do Sul,[Brazil]
1148,Universidade da Coruña,[Spain]
1149,Universidade do Porto,[Portugal]
1150,Universita della Svizzera Italiana,[Switzerland]
1151,"Universita della Svizzera Italiana, Universidad Politécnica de Valencia and University of Bucharest","[Switzerland, Spain, Romania]"
1152,Universitas Brawijaya,[Indonesia]
1153,Universitas Indonesia,[Indonesia]
1154,Universitat Pompeu Fabra,[Spain]
1155,Universitat d’Alacant,[Spain]
1156,University College Dublin,[Ireland]
1157,University College London,[United Kingdom]
1158,"University College London, University of London",[United Kingdom]
1159,University Hospital Aachen,[Germany]
1160,University Mohammed VI Polytechnic,[Morocco]
1161,University of Aberdeen,[United Kingdom]
1162,University of Adelaide and Royal Melbourne Institute of Technology,[Australia]
1163,University of Alabama at Birmingham,[United States]
1164,University of Amsterdam,[Netherlands]
1165,"University of Amsterdam, King Abdullah University of Science and Technology and National Taiwan University","[Netherlands, Saudi Arabia, Taiwan]"
1166,University of Arizona,[United States]
1167,University of Auckland,[New Zealand]
1168,University of Augsburg,[Germany]
1169,University of Basel,[Switzerland]
1170,University of Bath,[United Kingdom]
1171,University of Birmingham,[United Kingdom]
1172,University of Bisha,[Saudi Arabia]
1173,University of Bologna,[Italy]
1174,University of Bristol,[United Kingdom]
1175,University of British Columbia,[Canada]
1176,University of Bucharest,[Romania]
1177,University of Calabria,[Italy]
1178,University of California,[United States]
1179,University of California Berkeley,[United States]
1180,"University of California, Berkeley",[United States]
1181,"University of California, Davis",[United States]
1182,"University of California, Davis and University of Southern California",[United States]
1183,"University of California, Irvine",[United States]
1184,"University of California, Los Angeles",[United States]
1185,"University of California, Los Angeles and Amazon",[United States]
1186,"University of California, Merced",[United States]
1187,"University of California, Riverside and Sichuan University","[United States, China]"
1188,"University of California, San Diego",[United States]
1189,"University of California, San Diego, Snowflake, Petuum, Inc and Carnegie Mellon University",[United States]
1190,"University of California, San Diego, University of California, San Diego",[United States]
1191,University of Cambridge,[United Kingdom]
1192,University of Cambridge and Duke University,"[United Kingdom, United States]"
1193,University of Cape Coast,[Ghana]
1194,University of Central Florida,[United States]
1195,University of Central Florida and Universitas Gadjah Mada,"[United States, Indonesia]"
1196,University of Central Florida and Universitas Islam Indonesia,"[United States, Indonesia]"
1197,University of Chicago,[United States]
1198,University of Chinese Academy of Sciences,[China]
1199,University of Chinese Academy of Sciences and Chinese Academy of Sciences,[China]
1200,University of Colorado at Boulder,[United States]
1201,University of Connecticut,[United States]
1202,University of Copenhagen,[Denmark]
1203,University of Delaware,[United States]
1204,University of Dundee,[United Kingdom]
1205,University of Edinburgh,[United Kingdom]
1206,University of Edinburgh and University of Amsterdam,"[United Kingdom, Netherlands]"
1207,"University of Edinburgh, University of Edinburgh",[United Kingdom]
1208,University of Electro-Communications,[Japan]
1209,University of Electronic Science and Technology of China,[China]
1210,"University of Electronic Science and Technology of China,",[China]
1211,University of Essex,[United Kingdom]
1212,University of Exeter and University of Sheffield,[United Kingdom]
1213,University of Florida,[United States]
1214,University of Georgia,[United States]
1215,University of Glasgow,[United Kingdom]
