,affiliation,country
599,Monash University and University of Liverpool,"[Australia, United Kingdom]"
600,Monta AI,[Denmark]
601,"Montreal Institute for Learning Algorithms, Université de Montréal and The University of Tokyo","[Canada, Japan]"
602,Moonshot AI,[China]
603,"Moscow Technical University of Informatics and Communication, AIRI and University of Sharjah","[Russia, United Arab Emirates]"
604,NASK - National Research Institute,[Poland]
605,NAVER,[South Korea]
606,NAVER CLOUD,[South Korea]
607,NAVER Cloud,[South Korea]
608,NAVER Search US,[United States]
609,NEC,Japan
610,NEC Labs America,[United States]
611,"NII, Tokyo Institute of Technology",[Japan]
612,"NINJAL, Tohoku University and RIKEN",[Japan]
613,NTT,[Japan]
614,NTT Corporation,[Japan]
615,NUS,[Singapore]
616,NVIDIA,[United States]
617,NVIDIA and University of Washington,[United States]
618,NYU Shanghai,[China]
619,Nagoya University,[Japan]
620,Nanjing Normal University,[China]
621,Nanjing University,[China]
622,Nanjing University of Aeronautics and Astronautics,[China]
623,Nanjing University of Finance and Economics,[China]
624,Nanjing University of Science and Technology,[China]
625,Nanjing university,[China]
626,Nankai University,[China]
627,Nanyang Technological University,[Singapore]
628,Nanyang Technological University and A*STAR,[Singapore]
629,Nanyang Technological University and SalesForce.com,"[Singapore, United States]"
630,Nara Institute of Science and Technology,[Japan]
631,"Nara Institute of Science and Technology, Japan",[Japan]
632,NatWest Bank,[United Kingdom]
633,National Institute of Informatics,[Japan]
634,National Institute of Informatics (NII) and Kyoto University,[Japan]
635,National Institutes of Health,[United States]
636,National Key Laboratory of General Artificial Intelligence,[China]
637,National Key Laboratory of General Artificial Intelligence and Beijing Institute for General Artificial Intelligence,[China]
638,National Library of Medicine,[United States]
639,National Library of Norway,[Norway]
640,National Research Council Canada,[Canada]
641,National Taiwan University,[Taiwan]
642,National Technical University of Athens,[Greece]
643,National University of Defense Technology,[China]
644,National University of Science and Technology POLITEHNICA Bucharest,[Romania]
645,National University of Singapore,[Singapore]
646,National University of Singapore and Tencent AI Lab,"[Singapore, China]"
647,"National University of Singapore and The Chinese University of Hong Kong, Shenzhen","[Singapore, China]"
648,"National University of Singapore, National University of Singapore",[Singapore]
649,Naver Labs Europe,[France]
650,NeoMatrix Ltd,[United Kingdom]
651,New York University,[United States]
652,New York University Shanghai,[China]
653,"New York University, Abu Dhabi",[United Arab Emirates]
654,"Noah’s Ark Lab, Huawei",[China]
655,"Noah’s Ark Lab, Huawei Technologies Ltd.",[China]
656,Nomic AI,[United States]
657,Nomic AI and Helivan Research,"[United States, India]"
658,North Carolina State University,[United States]
659,Northeast Forest University,[China]
660,Northeast University,"[China, United States]"
661,Northeastern University,"[United States, China]"
662,Northeastern University and University of Pittsburgh,[United States]
663,"Northeastern University, Brown University and Northeastern University",[United States]
664,"Northeastern University, China",[China]
665,"Northeastern University, Northeastern University and University of Michigan",[United States]
666,Northwest Normal University Lanzhou,[China]
667,Northwest Polytechnical University Xi’an,[China]
668,Northwest University Xi’an,[China]
669,Northwestern University,[United States]
670,Northwestern University and Georgia Institute of Technology,[United States]
671,OPPO Research Institute,[China]
672,Ohio State University,[United States]
673,"Ohio State University, Columbus",[United States]
674,Om AI,[India]
675,Open University,[United Kingdom]
676,Oppo,[China]
677,Oracle,[United States]
678,"Osaka University, Graduate School of Information Science and Technology",[Japan]
679,"Oxford Internet Institute, University of Oxford",[United Kingdom]
680,PJLab,[China]
681,POSTECH,[South Korea]
682,Parameter Lab,[United States]
683,Patronus AI,[United States]
684,Peking University,[China]
685,Peking University and Microsoft,"[China, United States]"
686,"Peng Cheng Laboratory, Shenzhen, China",[China]
687,Pengcheng Laboratory,[China]
688,Pengcheng Laboratory and Pengcheng Laboratory,[China]
689,Pennsylvania State University,[United States]
690,People’s Daily Online,[China]
691,Phillips-Universität Marburg and University of Twente,"[Germany, Netherlands]"
692,Pingan Technology,[China]
693,Pocket FM,[India]
694,Pohang University of Science and Technology,[South Korea]
695,Politecnico di Torino,[Italy]
696,Politecnico di Torino and Politecnico di Torino,[Italy]
697,Polytechnic Institute of Milan,[Italy]
698,Polytechnic Institute of Turin,[Italy]
699,Pontificia Universidad Catolica de Chile,[Chile]
700,Portland State University,[United States]
701,Posos,[Netherlands]
702,PowerChina Huadong Engineering Corporation Limited,[China]
703,Princeton University,[United States]
704,Purdue University,[United States]
705,Purdue University and Purdue University,[United States]
706,Purdue University and Tsinghua University,"[United States, China]"
707,QCRI,[Qatar]
708,Qatar Computing Research Institute,[Qatar]
709,Qatar University,[Qatar]
710,Qihoo 360,[China]
711,Qiyuan Lab,[China]
712,QualComm,United States
713,Qualcomm AI Research,[United States]
714,"Qualcomm Inc, QualComm",[United States]
715,Queen Mary University London,[United Kingdom]
716,Queen Mary University of London,[United Kingdom]
717,"Queen Mary, University of London",[United Kingdom]
718,Queens University,"[Canada, United Kingdom]"
719,Queen’s University,[Canada]
720,Queen’s University and University of New Brunswick,[Canada]
721,RIKEN and University of Auckland,"[Japan, New Zealand]"
722,Radboud University,[Netherlands]
723,Ravis Technology,[India]
724,Rebellions,[South Korea]
725,Rebellions Inc.,[South Korea]
726,"Rebellions, Inc.",[South Korea]
727,RedHat AI & MIT-IBM Watson AI Lab,[United States]
728,RedNote,[India]
729,Reichman University,[Israel]
730,Reliance Jio AICoE,[India]
731,Renmin University of China,[China]
732,Rensselaer Polytechnic Institute,[United States]
733,"Research, Facebook",[United States]
734,"Research, Google",[United States]
735,"Research, Microsoft",[United States]
736,"Research, Microsoft and University of Science and Technology of China","[United States, China]"
737,Rheinische Friedrich-Wilhelms Universität Bonn,[Germany]
738,Rhymes AI,[United States]
739,Rice University,[United States]
740,Rice University and ThirdAI Corp.,[United States]
741,Rice University and University of Texas Health Science Center at Houston,[United States]
742,"Ricoh Software Research Center Beijing Co., Ltd.",[China]
743,Risksis Technology Limited,[Hong Kong]
744,Royal Holloway University of London,[United Kingdom]
745,Rutgers University,[United States]
746,"Rutgers University, New Brunswick",[United States]
747,SB Intuitions,[India]
748,SBIntuitions,[]
749,SCB 10X,[Thailand]
750,STC,[Saudi Arabia]
751,STC-Innovation,[Saudi Arabia]
752,SUN YAT-SEN UNIVERSITY,[China]
753,Saarland University,[Germany]
754,Sakana AI,Japan
755,SalesForce,[United States]
756,SalesForce AI Research,[United States]
757,SalesForce.com,[United States]
758,SalesForce.com and Rutgers University,[United States]
759,Salesforce AI,United States
760,Salesforce AI Research,[United States]
761,Salesforce AI Research and Stony Brook University,[United States]
762,Salesforce Research,[United States]
763,Salesforce Research and Stanford University,[United States]
764,Salesforce and Stanford University,[United States]
765,Salesforce.com,[United States]
766,Salzburg University of Applied Sciences,[Austria]
767,Samsung,[South Korea]
768,Samsung Electronics America,[United States]
769,"Samsung Research and Development Institute - India, Bengaluru",[India]
770,Samsung SDS,[South Korea]
771,Santander Holdings USA,United States
772,Sapienza University of Rome,[Italy]
773,Sapienza University of Rome and Sapienza University of Rome,[Italy]
774,Scale AI,[Canada]
775,"School of Computer Science and Engineering, Nanyang Technological University",[Singapore]
776,"School of Computer Science and Technology, Tiangong University",[China]
777,"School of Computer Science, Carnegie Mellon University",[United States]
778,"School of Computer and Communication Sciences, EPFL - EPF Lausanne",[Switzerland]
779,"School of Engineering and Applied Sciences, Harvard University",[United States]
780,Sea AI Lab,[Singapore]
781,Sensetime,[China]
782,Sensetime Research,[China]
783,Seoul National University,[South Korea]
784,Seoul National University and Ecole Nationale Supérieure des Mines d’Alès,"[South Korea, France]"
785,ServiceNow,[United States]
786,ServiceNow Inc,[United States]
787,"ServiceNow Inc, Mila, McGill University and Mila, McGill University","[United States, Canada]"
788,Shanda Group and Alibaba Group,[China]
789,Shandong University,[China]
790,Shanghai AI Lab,[China]
791,Shanghai AI Laboratory,[China]
792,"Shanghai Advanced Research Institute, Chinese Academy of Sciences",[China]
793,Shanghai Artificial Intelligence Laboratory,[China]
794,Shanghai Artificial Intelligence Laboratory and University of Hong Kong,"[China, Hong Kong]"
795,Shanghai Institute for Advanced Study of Zhejiang University,[China]
796,Shanghai Jiao Tong University,[China]
797,Shanghai Jiaotong University,[China]
798,Shanghai Jiaotong University and Beijing Institute for General Artificial Intelligence,[China]
799,Shanghai Jiaotong University and Télécom Paris,"[China, France]"
800,Shanghai Normal University,[China]
801,Shanghai University of Finance and Economics,[China]
802,ShanghaiTech University,[China]
803,Sharif University of Technology,[Iran]
804,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",[China]
805,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences",[China]
806,Shenzhen MSU-BIT University,[China]
807,Shenzhen Research Institute of Big Data,[China]
808,Shenzhen Technology University,[China]
809,Shenzhen University,[China]
810,Shopee,[Singapore]
811,Sichuan University,[China]
812,"Silicon Universe Technology Co., Ltd.",[China]
813,"Simular and University of California, Santa Cruz",[United States]
814,Singapore Management University,[Singapore]
815,Singapore Management University and Nanjing University,"[Singapore, China]"
816,Singapore University of Technology and Design,[Singapore]
817,Singapore-ETH Centre,"[Singapore, Switzerland]"
818,Skolkovo Institute of Science and Technology,[Russia]
819,"Skolkovo Institute of Science and Technology and CNRS, Institut Mathematiques de Jussieu, Paris Diderot University","[Russia, France]"
820,Skoltech,[Russia]
821,Skywork AI,[India]
822,Snowflake,[United States]
823,Sogang University,[South Korea]
824,Sony,[Japan]
825,"Sony R&D and University of Sydney, University of Sydney","[Japan, Australia]"
826,Sony Research India,[India]
827,"Sony Research India, Bangalore",[India]
828,Soochow University,[China]
829,"Soochow University, China",[China]
830,Soongsil University,[South Korea]
831,South China Agricultural University,[China]
832,South China University of Technology,[China]
833,"South China University of Technology and The 5th Electronic Research Institute, Ministry of Industry and Information Technology, Guangzhou, China",[China]
834,Southeast University,[China]
835,Southeast University - Monash University Joint Graduate School,[China]
836,Southeast university,[China]
837,Southern Methodist University,[United States]
838,Southern University of Science and Technology,[China]
839,Southwest Jiaotong University,[China]
840,Southwest University,[China]
841,Squirrel Ai Learning,[China]
842,Stanford University,[United States]
843,Stanford University and Google,[United States]
844,"Stanford University and Tsinghua University, Tsinghua University","[United States, China]"
845,"Stanford University, Contextual AI and Allen Institute for Artificial Intelligence",[United States]
846,"Stanford University, Stanford University and Stanford University",[United States]
847,State Key Lab of Mathematical Engineering and Advanced Computing,[China]
848,"State Key Laboratory of General Artificial Intelligence, BIGAI",[China]
849,State University of New York at Albany,[United States]
850,State University of New York at Buffalo,[United States]
851,State University of New York at Stony Brook,[United States]
852,"State University of New York at Stony Brook and University of Maryland Institute for Advanced Computer Studies, University of Maryland, College Park",[United States]
853,"State University of New York, Stony Brook",[United States]
854,StepFun,[China]
855,Stevens Institute of Technology,[United States]
856,Stony Brook University,[United States]
857,Sun Yat-Sen University,[China]
858,Sung Kyun Kwan University,[South Korea]
859,Sungkyunkwan University,[South Korea]
860,Suqian University,[China]
861,Suzhou University,[China]
862,Swiss Federal Institute of Technology,[Switzerland]
863,TD Securities,[Canada]
864,TH Nürnberg,[Germany]
865,TU Berlin and Fraunhofer HHI,[Germany]
866,Taobao & Tmall Group,[China]
867,Tarbiat Modares University,[Iran]
868,Technical University in Kosice,[Slovakia]
869,Technical University of Applied Sciences Würzburg-Schweinfurt,[Germany]
870,"Technical University of Denmark, Apple and IT University","[Denmark, United States]"
871,Technical University of Munich,[Germany]
872,Technical University of Munich and Universidad del País Vasco,"[Germany, Spain]"
873,"Technion - Israel Institute of Technology, Technion",[Israel]
874,"Technion, Technion",[Israel]
875,Technische Universität Berlin,[Germany]
876,Technische Universität Darmstadt,[Germany]
877,Technische Universität Dresden,[Germany]
878,Technische Universität München,[Germany]
879,Technische Universität München and University of Tuebingen,[Germany]
880,Tel Aviv University,[Israel]
881,Tel Aviv University and Google Research,"[Israel, United States]"
882,"TeleAI, China Telecom",[China]
883,Telecom Paris,[France]
884,Temple University,[United States]
885,Tencent,[China]
886,Tencent AI Lab,[China]
887,Tencent America LLC,[United States]
888,Tencent Hunyuan,[China]
889,Tencent Hunyuan Team,[China]
890,Tencent INC,[China]
891,Tencent Inc.,[China]
892,Tencent YouTu Lab,[China]
893,Tencent Youtu Lab,[China]
894,Tencent and Tencent,[China]
895,Terminus Group,[China]
896,Texas A&M,[United States]
897,Texas A&M University,[United States]
898,Texas A&M University - College Station,[United States]
899,The African Research Collective,[South Africa]
900,The Chinese University of Hong Kong,[China]
901,The Chinese University of Hong Kong (Shenzhen); National University of Singapore and National University of Singapore,"[China, Singapore]"
902,The Chinese University of Hong Kong and Shanghai AI Laboratory,[China]
903,The Chinese University of Hong Kong and Tsinghua University,[China]
904,"The Chinese University of Hong Kong, Shanghai Artificial Intelligence Laboratory and University of Hong Kong",[China]
905,"The Chinese University of Hong Kong, Shenzhen",[China]
906,"The Chinese University of Hong Kong, The Chinese University of Hong Kong",[Hong Kong]
907,The Chinese University of Hong Kong-Shenzhen,[China]
908,The Education University of Hong Kong,[Hong Kong]
909,The Fin AI,[Finland]
910,The Hong Kong Polytechnic University,[China]
911,The Hong Kong Polytechnic University and Hong Kong Polytechnic University,[China]
912,"The Hong Kong Polytechnic University, The Hong Kong Polytechnic University",[China]
913,The Hong Kong University of Science and Technology,[Hong Kong]
914,The Hong Kong University of Science and Technology (Guangzhou),[China]
915,The Hong Kong University of Science and Technology (Guangzhou) and Hong Kong University of Science and Technology,"[China, Hong Kong]"
916,The Hong Kong University of Science and Technology and Guangdong University of Technology,[China]
917,The Hong Kong University of Science and Technology and Hong Kong University of Science and Technology,[Hong Kong]
918,The Hong Kong University of Science and Technology and Tongji University,[China]
919,The Manchester Metropolitan University,[United Kingdom]
920,The Ohio State University,[United States]
921,"The Ohio State University, Columbus",[United States]
922,The Pennsylvania State University,[United States]
923,The Principia,[United States]
924,The University of Adelaide,[Australia]
925,The University of Hong Kong,[Hong Kong]
926,The University of Melbourne,[Australia]
927,The University of Melbourne and The University of Melbourne,[Australia]
928,The University of Queensland,[Australia]
929,The University of Sydney,[Australia]
930,The University of Texas at Austin,[United States]
931,The University of Texas at Dallas,[United States]
932,The University of Tokyo,[Japan]
933,The University of Tokyo and The University of Tokyo,[Japan]
934,"The University of Tokyo, The University of Tokyo",[Japan]
935,"The University of Tokyo, The University of Tokyo and Tokyo University of Science",[Japan]
936,"The University of Tokyo, Tokyo University",[Japan]
937,"The Wharton School, University of Pennsylvania",[United States]
938,Theta One,[India]
939,"Tianjin Unibersity, China",[China]
940,Tianjin University,[China]
941,Tianjin University and Huawei Technologies Ltd.,[China]
942,Tianjin University and OPPO,[China]
943,Tianjin University of Science and Technology,[China]
944,Tianjin University of Technology,[China]
945,"Tianjin University, China",[China]
946,TikTok,[China]
947,Tiktok,[China]
948,Tilburg University,[Netherlands]
949,Tohoku University,[Japan]
950,Tohoku University and RIKEN,[Japan]
951,"Tokyo Institute of Technology, Tokyo Institute of Technology, RIKEN and AIST, National Institute of Advanced Industrial Science and Technology",[Japan]
952,Tongji University,[China]
953,Tongji University and Peking University,[China]
954,Toyota Technological Institute at Chicago,[United States]
955,Toyota Technological Institute at Chicago and University of Chicago,[United States]
956,Tsinghua University,[China]
957,Tsinghua University and China Mobile Research Institute,[China]
958,Tsinghua University and Tsinghua University,[China]
959,"Tsinghua University, ByteDance Inc. and Alibaba Group",[China]
960,"Tsinghua University, Tsinghua University",[China]
961,"Tsinghua University, Tsinghua University and Tencent AI Lab",[China]
962,"Tsukuba University, Tokyo Institute of Technology",[Japan]
963,U Hamburg,[Germany]
964,UAES,[United Arab Emirates]
965,UC Santa Barbara,[United States]
966,"UCLA Computer Science Department, University of California, Los Angeles",[United States]
967,UESTC,[China]
968,UIUC,[United States]
969,UNSW,[Australia]
970,UNSW Sydney,[Australia]
971,UPES,[India]
972,USC/ISI,[United States]
973,"UT Health, Rice University, Google and Department of Computer Science, Whiting School of Engineering",[United States]
974,Uber,[United States]
975,Ufonia,[United Kingdom]
976,Ulsan National Institute of Science and Technology,[South Korea]
977,Unbabel,[Portugal]
978,"United Automotive Electronic Systems Co., Ltd.",[China]
979,Universidad Nacional de Educación a Distancia,[Spain]
980,Universidad Politécnica de Cataluna,[Spain]
981,Universidad Politécnica de Madrid,[Spain]
982,Universidad Politécnica de Valencia,[Spain]
983,Universidad de Santiago de Compostela,[Spain]
984,Universidad del País Vasco,[Spain]
985,"Universidade Federal de Minas Gerais, Universidade Federal de Minas Gerais",[Brazil]
986,Universidade de Santiago de Compostela,[Spain]
987,Universidade do Porto,[Portugal]
988,Universitat Politecnica de Valencia and University of Cambridge,"[Spain, United Kingdom]"
989,Universitat de València,[Spain]
990,Universitatea Bucuresti,[Romania]
991,"Universita’ di Padova, University of Padua",[Italy]
992,"Universita’ di Pisa, University of Pisa",[Italy]
993,Universiteit Leiden,[Netherlands]
994,University College London,[United Kingdom]
995,"University College London, University of London",[United Kingdom]
996,"University College London, University of London and Meta","[United Kingdom, United States]"
997,"University College London, University of London, Department of Computer Science, University College London, University of London, DeepMind and Google","[United Kingdom, United States]"
998,University Mohammed VI Polytechnic,[Morocco]
999,University Politehnica of Bucharest,[Romania]
1000,University of Aberdeen,[United Kingdom]
1001,University of Adelaide,[Australia]
1002,University of Alabama at Birmingham,[United States]
1003,University of Alberta,[Canada]
1004,University of Amsterdam,[Netherlands]
1005,"University of Amsterdam and Qualcomm Inc, QualComm","[Netherlands, United States]"
1006,University of Amsterdam and University of Amsterdam,[Netherlands]
1007,"University of Amsterdam, University of Amsterdam",[Netherlands]
1008,University of Arizona,[United States]
1009,University of Arizona and Allen Institute for Artificial Intelligence,[United States]
1010,University of Athens,[Greece]
1011,University of Augsburg,[Germany]
1012,University of Barcelona,[Spain]
1013,University of Basel,[Switzerland]
1014,University of Bath,[United Kingdom]
1015,University of Birmingham,[United Kingdom]
1016,University of Bologna,[Italy]
1017,University of British Columbia,[Canada]
1018,"University of British Columbia, University of British Columbia and University of British Columbia",[Canada]
1019,University of Bucharest,[Romania]
1020,University of California - Berkeley and University of California Berkeley,[United States]
1021,University of California Berkeley,[United States]
1022,"University of California, Berkeley",[United States]
1023,"University of California, Davis",[United States]
1024,"University of California, Davis and University of Southern California",[United States]
1025,"University of California, Los Angeles",[United States]
1026,"University of California, Los Angeles and Amazon",[United States]
1027,"University of California, Los Angeles and Tsinghua University","[United States, China]"
1028,"University of California, Merced",[United States]
1029,"University of California, San Diego",[United States]
1030,"University of California, San Diego and Amazon",[United States]
1031,"University of California, San Diego and Peking University","[United States, China]"
1032,"University of California, San Diego and University of Electronic Science and Technology of China","[United States, China]"
1033,"University of California, Santa Barbara",[United States]
1034,"University of California, Santa Cruz",[United States]
1035,University of California-San Diego,[United States]
1036,University of Cambridge,[United Kingdom]
1037,University of Catania,[Italy]
1038,University of Central Florida,[United States]
1039,University of Chicago,[United States]
1040,University of Chinese Academy of Sciences,[China]
1041,University of Colorado Anschutz Medical Campus,[United States]
1042,University of Colorado at Boulder,[United States]
1043,University of Connecticut,[United States]
1044,University of Copenhagen,[Denmark]
1045,"University of Dublin, Trinity College",[Ireland]
1046,University of Dundee,[United Kingdom]
1047,University of Edinburgh,[United Kingdom]
1048,"University of Edinburgh, University of Edinburgh",[United Kingdom]
1049,University of Electronic Science and Technology of China,[China]
1050,"University of Electronic Science and Technology of China,",[China]
1051,University of Essex,[United Kingdom]
1052,University of Exeter,[United Kingdom]
1053,University of Florence,[Italy]
1054,University of Florida,[United States]
1055,University of Georgia,"[United States, Georgia]"
1056,University of Glasgow,[United Kingdom]
1057,University of Greifswald and University of Greifswald,[Germany]
1058,University of Groningen,[Netherlands]
1059,"University of Göttingen, Germany",[Germany]
1060,University of Hamburg,[Germany]
1061,University of Helsinki,[Finland]
1062,University of Hong Kong,[Hong Kong]
1063,University of Hong Kong and Hong Kong Baptist University,[China]
1064,University of Houston,[United States]
1065,University of Illinois Chicago,[United States]
1066,University of Illinois Urbana Champaign,[United States]
1067,University of Illinois Urbana-Champaign,[United States]
1068,University of Illinois Urbana-Champaign and Google,[United States]
1069,University of Illinois at Chicago,[United States]
1070,University of Illinois at Urbana-Champaign,[United States]
1071,"University of Illinois, Chicago",[United States]
1072,"University of Illinois, Urbana Champaign",[United States]
1073,"University of Illinois, Urbana Champaign, College of Computing and Georgia Institute of Technology",[United States]
1074,"University of Illinois, Urbana-Champaign",[United States]
1075,University of International Business and Economics,[China]
1076,University of International Relations,[China]
1077,University of Iowa,[United States]
1078,"University of Kassel, hessian.AI, and ScaDS.AI",[Germany]
1079,University of Liverpool and Eindhoven University of Technology,"[United Kingdom, Netherlands]"
1080,University of Luxemburg,[Luxembourg]
1081,University of Macau,[China]
1082,University of Malta,[Malta]
1083,University of Manchester,[United Kingdom]
1084,University of Manitoba,[Canada]
1085,"University of Maryland, Baltimore County",[United States]
1086,"University of Maryland, College Park",[United States]
1087,University of Massachusetts at Amherst,[United States]
1088,"University of Massachusetts, Amherst",[United States]
1089,University of Melbourne,[Australia]
1090,University of Melbourne and Carnegie Mellon University,"[Australia, United States]"
1091,"University of Melbourne, University of Western Australia and University of Sydney",[Australia]
1092,University of Michigan,[United States]
1093,University of Michigan - Ann Arbor,[United States]
1094,University of Michigan - Ann Arbor and Michigan State University,[United States]
1095,University of Michigan - Dearborn,[United States]
1096,University of Michigan Ann Arbor,[United States]
1097,University of Milan,[Italy]
1098,University of Minnesota - Twin Cities,[United States]
1099,University of Minnesota - Twin Cities and Amazon,[United States]
1100,"University of Minnesota, Minneapolis",[United States]
1101,University of Modena and Reggio Emilia,[Italy]
1102,University of Montreal,[Canada]
1103,University of Moratuwa,[Sri Lanka]
1104,University of New South Wales,[Australia]
1105,University of New South Wales and CSIRO’s Data61,[Australia]
1106,University of North Carolina at Chapel Hill,[United States]
1107,University of North Texas,[United States]
1108,University of North Texas and Temple University,[United States]
1109,University of Notre Dame,[United States]
1110,University of Oregon,[United States]
1111,University of Oregon and Vanderbilt University,[United States]
1112,University of Oslo,[Norway]
1113,"University of Oslo and Robert Bosch GmbH, Bosch","[Norway, Germany]"
1114,University of Oxford,[United Kingdom]
1115,University of Padova,[Italy]
1116,University of Padua,[Italy]
1117,University of Pennsylvania,[United States]
1118,University of Pennsylvania and University of Pennsylvania,[United States]
1119,"University of Pennsylvania, University of Pennsylvania",[United States]
1120,University of Pisa,[Italy]
1121,University of Pittsburgh,[United States]
1122,University of Qatar,[Qatar]
1123,University of Qatar and TOBB University of Economics and Technology,"[Qatar, Turkey]"
1124,University of Richmond,[United States]
1125,University of Rochester,[United States]
1126,University of Roma “La Sapienza”,[Italy]
1127,University of Roma “Tor Vergata”,[Italy]
1128,"University of Roma, Tor Vergata",[Italy]
1129,University of Rome Tor Vergata,[Italy]
1130,University of Rome Tor Vergata and Almawave SpA,[Italy]
1131,University of Science and Technology Beijing,[China]
1132,University of Science and Technology of China,[China]
1133,University of Science and Technology of China and University of Science and Technology of China,[China]
1134,"University of Seoul, NAVER Cloud and KAIST",[South Korea]
1135,University of Sheffield,[United Kingdom]
1136,"University of Sheffield, University of Sheffield",[United Kingdom]
1137,University of South Carolina,[United States]
1138,University of South Florida,[United States]
1139,University of Southampton,[United Kingdom]
1140,University of Southern California,[United States]
1141,University of Southern California and USC/ISI,[United States]
1142,"University of Southern California, Information Sciences Institute",[United States]
1143,University of Southern Denmark - SDU,[Denmark]
1144,University of Strathclyde,[United Kingdom]
1145,University of Stuttgart,[Germany]
1146,University of Stuttgart and University of Southampton,"[Germany, United Kingdom]"
1147,"University of Stuttgart, Universität Stuttgart",[Germany]
1148,University of Surrey,[United Kingdom]
1149,University of Sydney,[Australia]
1150,"University of Sydney, Microsoft Research Asia and Microsoft Research Asia","[Australia, China]"
1151,University of Technology Nuremberg,[Germany]
1152,University of Technology Sydney,[Australia]
1153,University of Technology Sydney and Hong Kong Polytechnic University,"[Australia, Hong Kong]"
1154,"University of Tehran, University of Tehran",[Iran]
1155,University of Texas at Arlington,[United States]
1156,University of Texas at Austin,[United States]
1157,University of Texas at Austin and Apple,[United States]
1158,University of Texas at Dallas,[United States]
1159,"University of Texas, Dallas",[United States]
1160,University of Toronto,[Canada]
1161,University of Toronto and Centre for Addiction and Mental Health,[Canada]
1162,University of Toronto and Centre for Addiction and Mental health,[Canada]
1163,"University of Toronto, University of Edinburgh and KU Leuven","[Canada, United Kingdom, Belgium]"
1164,University of Trieste and Area Science Park,[Italy]
1165,University of Turin,[Italy]
1166,"University of Turin, Italy",[Italy]
1167,University of Utah,[United States]
1168,University of Utah and Google,[United States]
1169,University of Utah and University of Colorado Boulder,[United States]
1170,University of Venice,[Italy]
1171,University of Vermont,[United States]
1172,University of Virginia,[United States]
1173,"University of Virginia, Charlottesville",[United States]
1174,"University of Virginia, Houmo AI and National University of Singapore","[United States, China, Singapore]"
1175,University of Warwick,[United Kingdom]
1176,University of Washington,[United States]
1177,University of Washington and Allen Institute for Artificial Intelligence,[United States]
1178,"University of Washington, Seattle",[United States]
1179,"University of Washington, University of Illinois, Urbana Champaign and New York University, Shanghai","[United States, China]"
1180,University of Waterloo,[Canada]
1181,University of Waterloo and Mohamed bin Zayed University of Artificial Intelligence,"[Canada, United Arab Emirates]"
1182,University of Waterloo and Vector Institute,[Canada]
1183,University of Western Australia,[Australia]
1184,University of Wisconsin - Madison,[United States]
1185,University of Wisconsin-Madison,[United States]
1186,University of Zagreb,[Croatia]
1187,University of Zurich,[Switzerland]
1188,University of of South Carolina,[United States]
1189,University of the Basque Country,[Spain]
1190,University of the Basque Country (UPV/EHU),[Spain]
1191,University of the Chinese Academy of Sciences,[China]
1192,University of the Faroe Islands,[Faroe Islands]
1193,Università Degli Studi di Cagliari,[Italy]
1194,Università degli Studi di Roma Tor Vergata,[Italy]
1195,Università degli studi di Catania,[Italy]
1196,Universität Bielefeld,[Germany]
1197,Universität Duisburg-Essen,[Germany]
1198,Universität Greifswald,[Germany]
1199,Universität Hamburg,[Germany]
1200,Universität Hannover,[Germany]
1201,Universität Innsbruck,[Austria]
1202,Universität Konstanz,[Germany]
1203,Universität Mannheim,[Germany]
1204,Universität Mannheim and GESIS – Leibniz Institute for the Social Sciences,[Germany]
1205,Universität Mannheim and Phillips-Universität Marburg,[Germany]
1206,Universität Osnabrück,[Germany]
1207,Universität Stuttgart,[Germany]
1208,Universität Vienna,[Austria]
1209,Universität der Bundeswehr München,[Germany]
1210,Universität des Saarlandes,[Germany]
1211,Université Paris Cité,[France]
1212,"Université Paris-Saclay, CNRS",[France]
1213,"Université Pierre et Marie Curie - Paris 6, Sorbonne Université - Faculté des Sciences (Paris VI)",[France]
1214,Université de Lorraine,[France]
1215,Université de Montréal,[Canada]
1216,Université de Montréal and Mila - Quebec Artificial Intelligence Institute,[Canada]
1217,Université de Sherbrooke,[Canada]
1218,Université de Strasbourg,[France]
1219,Université d’Aix-Marseille,[France]
1220,Université d’Angers,[France]
1221,Uppsala University,[Sweden]
1222,Utrecht University,[Netherlands]
1223,Utrecht University and CNRS,"[Netherlands, France]"
1224,VIPSHOP,China
1225,VU University Amsterdam,[Netherlands]
1226,Vanderbilt University,[United States]
1227,Verily,[United States]
1228,Verily Life Sciences,[United States]
1229,Vidyasirimedhi Institute of Science and Technology,[Thailand]
1230,Viettel AI & Data Service Center,[Vietnam]
1231,Viettel Group,[Vietnam]
1232,VinAI Research,[Vietnam]
1233,Vinai Research,[Vietnam]
1234,Virginia Polytechnic Institute and State University,[United States]
1235,Virginia Tech,[United States]
1236,Vrije Universiteit Amsterdam,[Netherlands]
1237,"Washington University, Saint Louis",[United States]
1238,WeChat,[China]
1239,"WeChat AI, Tencent",[China]
1240,"WeChat AI, Tencent Inc.",[China]
1241,"WeChat, Tencent",[China]
1242,Wechat AI,[China]
1243,"Wechat, Tencent",[China]
1244,"Weill Cornell Medicine, Cornell University",[United States]
1245,Wellesley College,[United States]
1246,Western Washington University,[United States]
1247,Westlake University,[China]
