,affiliation
833,"South China University of Technology and The 5th Electronic Research Institute, Ministry of Industry and Information Technology, Guangzhou, China"
834,Southeast University
835,Southeast University - Monash University Joint Graduate School
836,Southeast university
837,Southern Methodist University
838,Southern University of Science and Technology
839,Southwest Jiaotong University
840,Southwest University
841,Squirrel Ai Learning
842,Stanford University
843,Stanford University and Google
844,"Stanford University and Tsinghua University, Tsinghua University"
845,"Stanford University, Contextual AI and Allen Institute for Artificial Intelligence"
846,"Stanford University, Stanford University and Stanford University"
847,State Key Lab of Mathematical Engineering and Advanced Computing
848,"State Key Laboratory of General Artificial Intelligence, BIGAI"
849,State University of New York at Albany
850,State University of New York at Buffalo
851,State University of New York at Stony Brook
852,"State University of New York at Stony Brook and University of Maryland Institute for Advanced Computer Studies, University of Maryland, College Park"
853,"State University of New York, Stony Brook"
854,StepFun
855,Stevens Institute of Technology
856,Stony Brook University
857,Sun Yat-Sen University
858,Sung Kyun Kwan University
859,Sungkyunkwan University
860,Suqian University
861,Suzhou University
862,Swiss Federal Institute of Technology
863,TD Securities
864,TH Nürnberg
865,TU Berlin and Fraunhofer HHI
866,Taobao & Tmall Group
867,Tarbiat Modares University
868,Technical University in Kosice
869,Technical University of Applied Sciences Würzburg-Schweinfurt
870,"Technical University of Denmark, Apple and IT University"
871,Technical University of Munich
872,Technical University of Munich and Universidad del País Vasco
873,"Technion - Israel Institute of Technology, Technion"
874,"Technion, Technion"
875,Technische Universität Berlin
876,Technische Universität Darmstadt
877,Technische Universität Dresden
878,Technische Universität München
879,Technische Universität München and University of Tuebingen
880,Tel Aviv University
881,Tel Aviv University and Google Research
882,"TeleAI, China Telecom"
883,Telecom Paris
884,Temple University
885,Tencent
886,Tencent AI Lab
887,Tencent America LLC
888,Tencent Hunyuan
889,Tencent Hunyuan Team
890,Tencent INC
891,Tencent Inc.
892,Tencent YouTu Lab
893,Tencent Youtu Lab
894,Tencent and Tencent
895,Terminus Group
896,Texas A&M
897,Texas A&M University
898,Texas A&M University - College Station
899,The African Research Collective
900,The Chinese University of Hong Kong
901,The Chinese University of Hong Kong (Shenzhen); National University of Singapore and National University of Singapore
902,The Chinese University of Hong Kong and Shanghai AI Laboratory
903,The Chinese University of Hong Kong and Tsinghua University
904,"The Chinese University of Hong Kong, Shanghai Artificial Intelligence Laboratory and University of Hong Kong"
905,"The Chinese University of Hong Kong, Shenzhen"
906,"The Chinese University of Hong Kong, The Chinese University of Hong Kong"
907,The Chinese University of Hong Kong-Shenzhen
908,The Education University of Hong Kong
909,The Fin AI
910,The Hong Kong Polytechnic University
911,The Hong Kong Polytechnic University and Hong Kong Polytechnic University
912,"The Hong Kong Polytechnic University, The Hong Kong Polytechnic University"
913,The Hong Kong University of Science and Technology
914,The Hong Kong University of Science and Technology (Guangzhou)
915,The Hong Kong University of Science and Technology (Guangzhou) and Hong Kong University of Science and Technology
916,The Hong Kong University of Science and Technology and Guangdong University of Technology
917,The Hong Kong University of Science and Technology and Hong Kong University of Science and Technology
918,The Hong Kong University of Science and Technology and Tongji University
919,The Manchester Metropolitan University
920,The Ohio State University
921,"The Ohio State University, Columbus"
922,The Pennsylvania State University
923,The Principia
924,The University of Adelaide
925,The University of Hong Kong
926,The University of Melbourne
927,The University of Melbourne and The University of Melbourne
928,The University of Queensland
929,The University of Sydney
930,The University of Texas at Austin
931,The University of Texas at Dallas
932,The University of Tokyo
933,The University of Tokyo and The University of Tokyo
934,"The University of Tokyo, The University of Tokyo"
935,"The University of Tokyo, The University of Tokyo and Tokyo University of Science"
936,"The University of Tokyo, Tokyo University"
937,"The Wharton School, University of Pennsylvania"
938,Theta One
939,"Tianjin Unibersity, China"
940,Tianjin University
941,Tianjin University and Huawei Technologies Ltd.
942,Tianjin University and OPPO
943,Tianjin University of Science and Technology
944,Tianjin University of Technology
945,"Tianjin University, China"
946,TikTok
947,Tiktok
948,Tilburg University
949,Tohoku University
950,Tohoku University and RIKEN
951,"Tokyo Institute of Technology, Tokyo Institute of Technology, RIKEN and AIST, National Institute of Advanced Industrial Science and Technology"
952,Tongji University
953,Tongji University and Peking University
954,Toyota Technological Institute at Chicago
955,Toyota Technological Institute at Chicago and University of Chicago
956,Tsinghua University
957,Tsinghua University and China Mobile Research Institute
958,Tsinghua University and Tsinghua University
959,"Tsinghua University, ByteDance Inc. and Alibaba Group"
960,"Tsinghua University, Tsinghua University"
961,"Tsinghua University, Tsinghua University and Tencent AI Lab"
962,"Tsukuba University, Tokyo Institute of Technology"
963,U Hamburg
964,UAES
965,UC Santa Barbara
966,"UCLA Computer Science Department, University of California, Los Angeles"
967,UESTC
968,UIUC
969,UNSW
970,UNSW Sydney
971,UPES
972,USC/ISI
973,"UT Health, Rice University, Google and Department of Computer Science, Whiting School of Engineering"
974,Uber
975,Ufonia
976,Ulsan National Institute of Science and Technology
977,Unbabel
978,"United Automotive Electronic Systems Co., Ltd."
979,Universidad Nacional de Educación a Distancia
980,Universidad Politécnica de Cataluna
981,Universidad Politécnica de Madrid
982,Universidad Politécnica de Valencia
983,Universidad de Santiago de Compostela
984,Universidad del País Vasco
985,"Universidade Federal de Minas Gerais, Universidade Federal de Minas Gerais"
986,Universidade de Santiago de Compostela
987,Universidade do Porto
988,Universitat Politecnica de Valencia and University of Cambridge
989,Universitat de València
990,Universitatea Bucuresti
991,"Universita’ di Padova, University of Padua"
992,"Universita’ di Pisa, University of Pisa"
993,Universiteit Leiden
994,University College London
995,"University College London, University of London"
996,"University College London, University of London and Meta"
997,"University College London, University of London, Department of Computer Science, University College London, University of London, DeepMind and Google"
998,University Mohammed VI Polytechnic
999,University Politehnica of Bucharest
1000,University of Aberdeen
1001,University of Adelaide
1002,University of Alabama at Birmingham
1003,University of Alberta
1004,University of Amsterdam
1005,"University of Amsterdam and Qualcomm Inc, QualComm"
1006,University of Amsterdam and University of Amsterdam
1007,"University of Amsterdam, University of Amsterdam"
1008,University of Arizona
1009,University of Arizona and Allen Institute for Artificial Intelligence
1010,University of Athens
1011,University of Augsburg
1012,University of Barcelona
1013,University of Basel
1014,University of Bath
1015,University of Birmingham
1016,University of Bologna
1017,University of British Columbia
1018,"University of British Columbia, University of British Columbia and University of British Columbia"
1019,University of Bucharest
1020,University of California - Berkeley and University of California Berkeley
1021,University of California Berkeley
1022,"University of California, Berkeley"
1023,"University of California, Davis"
1024,"University of California, Davis and University of Southern California"
1025,"University of California, Los Angeles"
1026,"University of California, Los Angeles and Amazon"
1027,"University of California, Los Angeles and Tsinghua University"
1028,"University of California, Merced"
1029,"University of California, San Diego"
1030,"University of California, San Diego and Amazon"
1031,"University of California, San Diego and Peking University"
1032,"University of California, San Diego and University of Electronic Science and Technology of China"
1033,"University of California, Santa Barbara"
1034,"University of California, Santa Cruz"
1035,University of California-San Diego
1036,University of Cambridge
1037,University of Catania
1038,University of Central Florida
1039,University of Chicago
1040,University of Chinese Academy of Sciences
1041,University of Colorado Anschutz Medical Campus
1042,University of Colorado at Boulder
1043,University of Connecticut
1044,University of Copenhagen
1045,"University of Dublin, Trinity College"
1046,University of Dundee
1047,University of Edinburgh
1048,"University of Edinburgh, University of Edinburgh"
1049,University of Electronic Science and Technology of China
1050,"University of Electronic Science and Technology of China,"
1051,University of Essex
1052,University of Exeter
1053,University of Florence
1054,University of Florida
1055,University of Georgia
1056,University of Glasgow
1057,University of Greifswald and University of Greifswald
1058,University of Groningen
1059,"University of Göttingen, Germany"
1060,University of Hamburg
1061,University of Helsinki
1062,University of Hong Kong
1063,University of Hong Kong and Hong Kong Baptist University
1064,University of Houston
1065,University of Illinois Chicago
1066,University of Illinois Urbana Champaign
1067,University of Illinois Urbana-Champaign
1068,University of Illinois Urbana-Champaign and Google
1069,University of Illinois at Chicago
1070,University of Illinois at Urbana-Champaign
1071,"University of Illinois, Chicago"
1072,"University of Illinois, Urbana Champaign"
1073,"University of Illinois, Urbana Champaign, College of Computing and Georgia Institute of Technology"
1074,"University of Illinois, Urbana-Champaign"
1075,University of International Business and Economics
1076,University of International Relations
1077,University of Iowa
1078,"University of Kassel, hessian.AI, and ScaDS.AI"
1079,University of Liverpool and Eindhoven University of Technology
1080,University of Luxemburg
1081,University of Macau
1082,University of Malta
1083,University of Manchester
1084,University of Manitoba
1085,"University of Maryland, Baltimore County"
1086,"University of Maryland, College Park"
1087,University of Massachusetts at Amherst
1088,"University of Massachusetts, Amherst"
1089,University of Melbourne
1090,University of Melbourne and Carnegie Mellon University
1091,"University of Melbourne, University of Western Australia and University of Sydney"
1092,University of Michigan
1093,University of Michigan - Ann Arbor
1094,University of Michigan - Ann Arbor and Michigan State University
1095,University of Michigan - Dearborn
1096,University of Michigan Ann Arbor
1097,University of Milan
1098,University of Minnesota - Twin Cities
1099,University of Minnesota - Twin Cities and Amazon
1100,"University of Minnesota, Minneapolis"
1101,University of Modena and Reggio Emilia
1102,University of Montreal
1103,University of Moratuwa
1104,University of New South Wales
1105,University of New South Wales and CSIRO’s Data61
1106,University of North Carolina at Chapel Hill
1107,University of North Texas
1108,University of North Texas and Temple University
1109,University of Notre Dame
1110,University of Oregon
1111,University of Oregon and Vanderbilt University
1112,University of Oslo
1113,"University of Oslo and Robert Bosch GmbH, Bosch"
1114,University of Oxford
1115,University of Padova
1116,University of Padua
1117,University of Pennsylvania
1118,University of Pennsylvania and University of Pennsylvania
1119,"University of Pennsylvania, University of Pennsylvania"
1120,University of Pisa
1121,University of Pittsburgh
1122,University of Qatar
1123,University of Qatar and TOBB University of Economics and Technology
1124,University of Richmond
1125,University of Rochester
1126,University of Roma “La Sapienza”
1127,University of Roma “Tor Vergata”
1128,"University of Roma, Tor Vergata"
1129,University of Rome Tor Vergata
1130,University of Rome Tor Vergata and Almawave SpA
1131,University of Science and Technology Beijing
1132,University of Science and Technology of China
1133,University of Science and Technology of China and University of Science and Technology of China
1134,"University of Seoul, NAVER Cloud and KAIST"
1135,University of Sheffield
1136,"University of Sheffield, University of Sheffield"
1137,University of South Carolina
1138,University of South Florida
1139,University of Southampton
1140,University of Southern California
1141,University of Southern California and USC/ISI
1142,"University of Southern California, Information Sciences Institute"
1143,University of Southern Denmark - SDU
1144,University of Strathclyde
1145,University of Stuttgart
1146,University of Stuttgart and University of Southampton
1147,"University of Stuttgart, Universität Stuttgart"
1148,University of Surrey
1149,University of Sydney
1150,"University of Sydney, Microsoft Research Asia and Microsoft Research Asia"
1151,University of Technology Nuremberg
1152,University of Technology Sydney
1153,University of Technology Sydney and Hong Kong Polytechnic University
1154,"University of Tehran, University of Tehran"
1155,University of Texas at Arlington
1156,University of Texas at Austin
1157,University of Texas at Austin and Apple
1158,University of Texas at Dallas
1159,"University of Texas, Dallas"
1160,University of Toronto
1161,University of Toronto and Centre for Addiction and Mental Health
1162,University of Toronto and Centre for Addiction and Mental health
1163,"University of Toronto, University of Edinburgh and KU Leuven"
1164,University of Trieste and Area Science Park
1165,University of Turin
1166,"University of Turin, Italy"
1167,University of Utah
1168,University of Utah and Google
1169,University of Utah and University of Colorado Boulder
1170,University of Venice
1171,University of Vermont
1172,University of Virginia
1173,"University of Virginia, Charlottesville"
1174,"University of Virginia, Houmo AI and National University of Singapore"
1175,University of Warwick
1176,University of Washington
1177,University of Washington and Allen Institute for Artificial Intelligence
1178,"University of Washington, Seattle"
1179,"University of Washington, University of Illinois, Urbana Champaign and New York University, Shanghai"
1180,University of Waterloo
1181,University of Waterloo and Mohamed bin Zayed University of Artificial Intelligence
1182,University of Waterloo and Vector Institute
1183,University of Western Australia
1184,University of Wisconsin - Madison
1185,University of Wisconsin-Madison
1186,University of Zagreb
1187,University of Zurich
1188,University of of South Carolina
1189,University of the Basque Country
1190,University of the Basque Country (UPV/EHU)
1191,University of the Chinese Academy of Sciences
1192,University of the Faroe Islands
1193,Università Degli Studi di Cagliari
1194,Università degli Studi di Roma Tor Vergata
1195,Università degli studi di Catania
1196,Universität Bielefeld
1197,Universität Duisburg-Essen
1198,Universität Greifswald
1199,Universität Hamburg
1200,Universität Hannover
1201,Universität Innsbruck
1202,Universität Konstanz
1203,Universität Mannheim
1204,Universität Mannheim and GESIS – Leibniz Institute for the Social Sciences
1205,Universität Mannheim and Phillips-Universität Marburg
1206,Universität Osnabrück
1207,Universität Stuttgart
1208,Universität Vienna
1209,Universität der Bundeswehr München
1210,Universität des Saarlandes
1211,Université Paris Cité
1212,"Université Paris-Saclay, CNRS"
1213,"Université Pierre et Marie Curie - Paris 6, Sorbonne Université - Faculté des Sciences (Paris VI)"
1214,Université de Lorraine
1215,Université de Montréal
1216,Université de Montréal and Mila - Quebec Artificial Intelligence Institute
1217,Université de Sherbrooke
1218,Université de Strasbourg
1219,Université d’Aix-Marseille
1220,Université d’Angers
1221,Uppsala University
1222,Utrecht University
1223,Utrecht University and CNRS
1224,VIPSHOP
1225,VU University Amsterdam
1226,Vanderbilt University
1227,Verily
1228,Verily Life Sciences
1229,Vidyasirimedhi Institute of Science and Technology
1230,Viettel AI & Data Service Center
1231,Viettel Group
1232,VinAI Research
1233,Vinai Research
1234,Virginia Polytechnic Institute and State University
1235,Virginia Tech
1236,Vrije Universiteit Amsterdam
1237,"Washington University, Saint Louis"
1238,WeChat
1239,"WeChat AI, Tencent"
1240,"WeChat AI, Tencent Inc."
1241,"WeChat, Tencent"
1242,Wechat AI
1243,"Wechat, Tencent"
1244,"Weill Cornell Medicine, Cornell University"
1245,Wellesley College
1246,Western Washington University
1247,Westlake University
1248,William & Mary
1249,Wuhan University
1250,Wuhan University and Central China Normal University
1251,Wuhan Unviersity of Science and Technology
1252,"Wuhan Vocational College of Software and Engineering, Wuhan"
1253,XITASO GmbH
1254,XITASO GmbH and Universität Augsburg
1255,XUPT
1256,Xiamen University
1257,"Xiamen University, Tsinghua University"
1258,XiaoIce
1259,Xiaohongshu
1260,Xiaomi Corporation
1261,Xidian University
1262,Xinjiang University
1263,Xi’an Jiaotong University
1264,"Xi’an Jiaotong University, Tsinghua University"
1265,Xi’an Jiaotong-Liverpool University
1266,Xi’an Research Institute of High Technology
1267,Xi’an University of Posts and Telecommunications
1268,Xmax.AI Ltd.
1269,Yale School of Medicine
1270,Yale University
1271,Yale University and Allen Institute for Artificial Intelligence
1272,Yale University and Snap Inc.
1273,Yamanashi University
1274,Yokohama National University
1275,Yokohama National University and Yokohama City University
1276,Yonsei University
1277,Yonsei University and Yonsei University
1278,York University
1279,York University and ServiceNow Inc
1280,Yunnan University
1281,Zhejiang Gongshang University
1282,Zhejiang Lab
1283,Zhejiang Normal University
1284,"Zhejiang RoyalFlush Network Technology Co., Ltd."
1285,Zhejiang University
1286,Zhejiang University and Zhejiang University
1287,Zhejiang University of Technology and East China Normal University
1288,"Zhejiang University, Renmin University of China, Renmin University of China, Renmin University of China, Yale University, Department of Computer Science, Yale University, University of Michigan - Ann Arbor, Electrical Engineering and Computer Science, University of Michigan - Ann Arbor, National University of Singapore, National University of Singapore, Beijing Jiaotong University, University of California, Berkeley, Electrical Engineering & Computer Science Department, University of California, Berkeley, UC Berkeley, University of California, Berkeley, Computer Science and Artificial Intelligence Laboratory, Electrical Engineering & Computer Science, Massachusetts Institute of Technology and Montanuniversität Leoben"
1289,Zhengzhou University
1290,Zhipu AI
1291,Zhipu AI and Tsinghua University
1292,Zhipu.AI
1293,ai4bharat
1294,"aiXplain, Inc."
1295,"computer network information center, cas"
1296,convin
1297,dMetrics
1298,datastory
1299,deepwisdom
1300,eBay Inc.
1301,eBay Research
1302,haier
1303,iQIYI
1304,"institute of computer science, University of Tartu"
1305,"institute of information engineering, Chinese Academy of Sciences"
1306,iscas
1307,mpi for psycholinguistics
1308,nanjing university
1309,"national university of singaore, National University of Singapore"
1310,sea group
1311,taobao
1312,tiangong
1313,vivo
1314,westlake university
1315,xAI
1316,xAI and University of Washington
1317,zte
1318,École Polytechnique and Inria
1319,École Polytechnique de Montréal
